version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D6
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;01.1;01.1 Arloff;14.09.2020 13:00:41;711;271;0;982;366;0;18;348;306;42
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;01.2;01.2 Briefwahlbezirk Arloff;13.09.2020 20:15:01;0;0;0;0;257;257;12;245;202;43
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;02.1;02.1 Kirspenich;14.09.2020 13:14:37;783;339;0;1122;293;0;19;274;217;57
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;02.2;02.2 Briefwahlbezirk Kirspenich;13.09.2020 20:13:32;0;0;0;0;307;307;12;295;240;55
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;03.1;03.1 Iversheim I, Kalkar;13.09.2020 19:44:47;648;355;0;1003;265;0;8;257;195;62
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;03.2;03.2 Briefwahlbezirk Iversheim I, Kalkar;13.09.2020 21:53:42;0;0;0;0;327;327;9;318;257;61
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;04.1;04.1 Iversheim II, Eschweiler;13.09.2020 19:11:00;619;318;0;937;226;0;8;218;171;47
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;04.2;04.2 Briefwahlbezirk Iversheim II, Eschweiler;13.09.2020 21:53:07;0;0;0;0;283;283;6;277;234;43
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;05.1;05.1 Nöthen, Hohn;14.09.2020 13:07:14;594;415;0;1009;312;0;16;296;223;73
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;05.2;05.2 Briefwahlbezirk Nöthen, Hohn;13.09.2020 20:34:43;0;0;0;0;395;395;21;374;294;80
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;06.1;06.1 Rodert, Bad Münstereifel I;13.09.2020 19:26:30;562;310;0;872;177;0;12;165;116;49
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;06.2;06.2 Briefwahlbezirk Rodert, Bad Münstereifel I;13.09.2020 21:29:21;0;0;0;0;276;276;8;268;209;59
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;07.1;07.1 Bad Münstereifel II;13.09.2020 19:00:50;552;283;0;835;211;0;6;205;147;58
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;07.2;07.2 Briefwahlbezirk Bad Münstereifel II;13.09.2020 21:39:44;0;0;0;0;262;262;12;250;184;66
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;08.1;08.1 Bad Münstereifel III;13.09.2020 19:12:58;580;361;0;941;197;0;12;185;140;45
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;08.2;08.2 Briefwahlbezirk Bad Münstereifel III;13.09.2020 21:55:32;0;0;0;0;325;325;25;300;237;63
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;09.1;09.1 Bad Münstereifel IV;13.09.2020 18:45:09;642;315;0;957;206;0;16;190;144;46
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;09.2;09.2 Briefwahlbezirk Bad Münstereifel IV;13.09.2020 20:42:02;0;0;0;0;288;288;19;269;204;65
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;10.1;10.1 Eicherscheid;13.09.2020 19:27:50;557;323;0;880;258;0;17;241;200;41
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;10.2;10.2 Briefwahlbezirk Eicherscheid;13.09.2020 21:33:57;0;0;0;0;300;300;12;288;232;56
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;11.1;11.1 Schönau;13.09.2020 19:58:42;572;305;0;877;255;0;12;243;200;43
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;11.2;11.2 Briefwahlbezirk Schönau;13.09.2020 20:11:24;0;0;0;0;281;281;11;270;220;50
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;12.1;12.1 Mahlberg;13.09.2020 19:23:26;525;313;0;838;279;0;17;262;205;57
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;12.2;12.2 Briefwahlbezirk Mahlberg;13.09.2020 21:50:49;0;0;0;0;279;279;5;274;224;50
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;13.1;13.1 Mutscheid,  Esch;13.09.2020 19:28:21;613;375;0;988;302;0;14;288;231;57
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;13.2;13.2 Briefwahlbezirk Mutscheid, Esch;13.09.2020 21:56:23;0;0;0;0;339;339;26;313;243;70
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;14.1;14.1 Rupperath, Hardtbrücke;13.09.2020 19:22:21;629;243;0;872;344;0;16;328;279;49
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;14.2;14.2 Briefwahlbezirk Rupperath, Hardtbrücke;13.09.2020 20:12:56;0;0;0;0;217;217;12;205;153;52
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;15.1;15.1 Effelsberg, Wald;13.09.2020 18:59:04;735;343;0;1078;286;0;13;273;224;49
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;15.2;15.2 Briefwahlbezirk Effelsberg, Wald;13.09.2020 21:19:03;0;0;0;0;291;291;9;282;235;47
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;16.1;16.1 Houverath;13.09.2020 18:53:42;765;314;0;1079;337;0;12;325;261;64
0.2;05366004;13.09.2020;Bürgermeisterwahl NRW;16.2;16.2 Briefwahlbezirk Houverath;13.09.2020 21:12:05;0;0;0;0;291;291;10;281;239;42
