version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7
0.2;05366004;13.09.2020;Ratswahl NRW;01.1;01.1 Arloff;14.09.2020 13:00:41;711;271;0;982;366;0;4;362;196;85;16;28;37;;
0.2;05366004;13.09.2020;Ratswahl NRW;01.2;01.2 Briefwahlbezirk Arloff;13.09.2020 20:15:01;0;0;0;0;257;257;0;257;128;66;13;10;40;;
0.2;05366004;13.09.2020;Ratswahl NRW;02.1;02.1 Kirspenich;14.09.2020 13:14:37;783;339;0;1122;294;0;16;278;109;79;16;18;56;;
0.2;05366004;13.09.2020;Ratswahl NRW;02.2;02.2 Briefwahlbezirk Kirspenich;13.09.2020 20:13:32;0;0;0;0;306;306;2;304;128;57;26;21;72;;
0.2;05366004;13.09.2020;Ratswahl NRW;03.1;03.1 Iversheim I, Kalkar;13.09.2020 19:44:47;648;355;0;1003;264;0;5;259;94;62;17;49;37;;
0.2;05366004;13.09.2020;Ratswahl NRW;03.2;03.2 Briefwahlbezirk Iversheim I, Kalkar;13.09.2020 21:53:42;0;0;0;0;327;327;6;321;145;66;18;53;39;;
0.2;05366004;13.09.2020;Ratswahl NRW;04.1;04.1 Iversheim II, Eschweiler;13.09.2020 19:11:00;619;318;0;937;226;0;7;219;95;27;19;22;40;16;
0.2;05366004;13.09.2020;Ratswahl NRW;04.2;04.2 Briefwahlbezirk Iversheim II, Eschweiler;13.09.2020 21:53:07;0;0;0;0;284;284;2;282;153;31;39;17;31;11;
0.2;05366004;13.09.2020;Ratswahl NRW;05.1;05.1 Nöthen, Hohn;14.09.2020 13:07:14;594;415;0;1009;312;0;3;309;76;46;69;64;54;;
0.2;05366004;13.09.2020;Ratswahl NRW;05.2;05.2 Briefwahlbezirk Nöthen, Hohn;13.09.2020 20:34:43;0;0;0;0;398;398;13;385;109;56;77;80;63;;
0.2;05366004;13.09.2020;Ratswahl NRW;06.1;06.1 Rodert, Bad Münstereifel I;13.09.2020 19:26:30;562;310;0;872;177;0;5;172;41;45;20;21;36;9;
0.2;05366004;13.09.2020;Ratswahl NRW;06.2;06.2 Briefwahlbezirk Rodert, Bad Münstereifel I;13.09.2020 21:29:21;0;0;0;0;279;279;4;275;79;80;34;32;36;14;
