version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;OT-Nord;OT-Nord;1;Arloff;01.1;01.1 Arloff;W;N;1;Arloff;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Briefwahl;Briefwahl;1;Arloff;01.2;01.2 Briefwahlbezirk Arloff;B;N;1;Arloff;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;OT-Nord;OT-Nord;2;Kirspenich;02.1;02.1 Kirspenich;W;N;2;Kirspenich;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Briefwahl;Briefwahl;2;Kirspenich;02.2;02.2 Briefwahlbezirk Kirspenich;B;N;2;Kirspenich;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;OT-Nord;OT-Nord;3;Iversheim I, Kalkar;03.1;03.1 Iversheim I, Kalkar;W;N;3;Iversheim I, Kalkar;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Briefwahl;Briefwahl;3;Iversheim I, Kalkar;03.2;03.2 Briefwahlbezirk Iversheim I, Kalkar;B;N;3;Iversheim I, Kalkar;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;OT-Nord;OT-Nord;4;Iversheim II, Eschweiler;04.1;04.1 Iversheim II, Eschweiler;W;N;4;Iversheim II, Eschweiler;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Briefwahl;Briefwahl;4;Iversheim II, Eschweiler;04.2;04.2 Briefwahlbezirk Iversheim II, Eschweiler;B;N;4;Iversheim II, Eschweiler;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;OT-Nord;OT-Nord;5;Nöthen, Hohn;05.1;05.1 Nöthen, Hohn;W;N;5;Nöthen, Hohn;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Briefwahl;Briefwahl;5;Nöthen, Hohn;05.2;05.2 Briefwahlbezirk Nöthen, Hohn;B;N;5;Nöthen, Hohn;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Kernstadt;Kernstadt;6;Rodert, Bad Münstereifel I;06.1;06.1 Rodert, Bad Münstereifel I;W;N;6;Rodert, Bad Münstereifel I;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Briefwahl;Briefwahl;6;Rodert, Bad Münstereifel I;06.2;06.2 Briefwahlbezirk Rodert, Bad Münstereifel I;B;N;6;Rodert, Bad Münstereifel I;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Kernstadt;Kernstadt;7;Bad Münstereifel II;07.1;07.1 Bad Münstereifel II;W;N;7;Bad Münstereifel II;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Briefwahl;Briefwahl;7;Bad Münstereifel II;07.2;07.2 Briefwahlbezirk Bad Münstereifel II;B;N;7;Bad Münstereifel II;;Ratswahl
0.2;05366004;13.09.2020;Ratswahl NRW;05366004;Stadt Bad Münstereifel;;;;;Kernstadt;Kernstadt;8;Bad Münstereifel III;08.1;08.1 Bad Münstereifel III;W;N;8;Bad Münstereifel III;;Ratswahl
