version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;kandidat-listenplatz
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Kraljic;;Andrea;;1963;;Kaufmännische Angestellte;1;Stadtbezirk 1;1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Kuppe;;Stefan;;1967;;Projektmanager;1;Stadtbezirk 1;2
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Schneider;;Petra;;1958;;Kauffrau;10;Stadtbezirk 10;1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Stanojevic;;Zoran;;1968;;Kaufmann;2;Stadtbezirk 2;1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Blinova;;Tamara;;1951;;Büroangestellte;3;Stadtbezirk 3;1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Jörres;;Wolf-Rüdiger;;1967;;Student;3;Stadtbezirk 3;2
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Hoffmann;;Florian;;1946;;Rechtsanwalt;4;Stadtbezirk 4;1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Toepffer;;Hendrik Christian;;1963;;Betriebswirt BA;4;Stadtbezirk 4;2
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Wozny;;Pierre Nikolaj;;1969;;Versicherungsangestellter;6;Stadtbezirk 6;1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Kuhles;;Peter;;1948;;Landwirt;7;Stadtbezirk 7;1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;AfD;Alternative für Deutschland;Opelt;;Uta;;1970;;Dipl.-Kfm.;7;Stadtbezirk 7;2
