version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;1;CDU;Christlich Demokratische Union Deutschlands;#4b4b4b;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;4;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;5;DIE LINKE;DIE LINKE;#d01d5c;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;6;PIRATEN;Piratenpartei Deutschland;#ff8800;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;7;FREIE WÄHLER;Unabhängige Wählergemeinschaft für Düsseldorf;#000000;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;8;REP;DIE REPUBLIKANER;#cccccc;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;9;AfD;Alternative für Deutschland;#1874cd;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;10;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a1a1a1;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;1;Stadtbezirk 1;11;Volt;Volt Deutschland;#68228b;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;1;CDU;Christlich Demokratische Union Deutschlands;#4b4b4b;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;4;DIE LINKE;DIE LINKE;#d01d5c;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;5;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;6;FREIE WÄHLER;Unabhängige Wählergemeinschaft für Düsseldorf;#000000;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;7;REP;DIE REPUBLIKANER;#cccccc;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;8;AfD;Alternative für Deutschland;#1874cd;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;9;;Klimaliste Düsseldorf;#228b22;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;2;Stadtbezirk 2;10;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a1a1a1;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;1;CDU;Christlich Demokratische Union Deutschlands;#4b4b4b;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;4;DIE LINKE;DIE LINKE;#d01d5c;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;5;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;6;PIRATEN;Piratenpartei Deutschland;#ff8800;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;7;FREIE WÄHLER;Unabhängige Wählergemeinschaft für Düsseldorf;#000000;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;8;REP;DIE REPUBLIKANER;#cccccc;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;9;AfD;Alternative für Deutschland;#1874cd;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;10;;Klimaliste Düsseldorf;#228b22;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a1a1a1;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;3;Stadtbezirk 3;12;Volt;Volt Deutschland;#68228b;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;4;Stadtbezirk 4;1;CDU;Christlich Demokratische Union Deutschlands;#4b4b4b;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;4;Stadtbezirk 4;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;4;Stadtbezirk 4;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;4;Stadtbezirk 4;4;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;4;Stadtbezirk 4;5;DIE LINKE;DIE LINKE;#d01d5c;P
