version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0101;0101 Adam-Stegerwald-Straße 14;16.09.2020 18:28:59;1069;131;0;1200;262;0;6;256;64;61;27;11;21;4;30;36;2;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0102;0102 Adam-Stegerwald-Straße 14;13.09.2020 19:01:56;1036;52;0;1088;206;0;14;192;27;69;21;14;18;6;5;31;1;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0103;0103 Stettiner Straße 98;16.09.2020 18:29:08;1201;164;0;1365;324;0;14;310;80;83;40;17;10;11;15;53;1;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0104;0104 Stettiner Straße 98;13.09.2020 21:08:48;1305;196;0;1501;375;0;27;348;80;100;56;27;25;5;9;45;1;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0105;0105 Neustrelitzer Straße 10;13.09.2020 19:43:40;1344;142;0;1486;248;0;6;242;53;78;22;9;13;12;16;37;2;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0106;0106 Josef-Kleesattel-Straße 13;16.09.2020 18:30:02;1353;259;0;1612;475;0;18;457;105;133;72;19;21;4;24;76;3;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0107;0107 Josef-Kleesattel-Straße 13;16.09.2020 18:30:11;1238;227;0;1465;382;0;23;359;90;83;60;22;27;6;13;57;1;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0108;0108 Emil-Barth-Straße 45;16.09.2020 18:30:18;1277;215;0;1492;528;0;8;520;129;138;57;20;80;5;20;67;4;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0109;0109 Ricarda-Huch-Straße 1;13.09.2020 20:14:56;1292;296;0;1588;497;0;9;488;139;126;69;16;42;3;28;58;7;;;
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;0190;0190 Briefwahlbezirk;13.09.2020 20:36:32;0;0;0;0;731;731;27;704;219;188;130;25;47;7;33;49;6;;;
