version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;041;041 Garath Süd/Hellerhof;0101;0101 Adam-Stegerwald-Straße 14;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;041;041 Garath Süd/Hellerhof;0102;0102 Adam-Stegerwald-Straße 14;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;041;041 Garath Süd/Hellerhof;0103;0103 Stettiner Straße 98;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;040;040 Benrath Ost/Garath Nord;0104;0104 Stettiner Straße 98;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;040;040 Benrath Ost/Garath Nord;0105;0105 Neustrelitzer Straße 10;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;040;040 Benrath Ost/Garath Nord;0106;0106 Josef-Kleesattel-Straße 13;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;040;040 Benrath Ost/Garath Nord;0107;0107 Josef-Kleesattel-Straße 13;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;041;041 Garath Süd/Hellerhof;0108;0108 Emil-Barth-Straße 45;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;041;041 Garath Süd/Hellerhof;0109;0109 Ricarda-Huch-Straße 1;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;040;040 Benrath Ost/Garath Nord;0190;0190 Briefwahlbezirk;B;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;101;101 Garath;041;041 Garath Süd/Hellerhof;0191;0191 Briefwahlbezirk;B;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;102;102 Hellerhof;041;041 Garath Süd/Hellerhof;0201;0201 Ingeborg-Bachmann-Straße 31;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;102;102 Hellerhof;041;041 Garath Süd/Hellerhof;0202;0202 Ingeborg-Bachmann-Straße 31;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;102;102 Hellerhof;041;041 Garath Süd/Hellerhof;0203;0203 Ingeborg-Bachmann-Straße 31;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;102;102 Hellerhof;041;041 Garath Süd/Hellerhof;0204;0204 Ingeborg-Bachmann-Straße 31;W;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;10;Stadtbezirk 10;102;102 Hellerhof;041;041 Garath Süd/Hellerhof;0290;0290 Briefwahlbezirk;B;N;10;Stadtbezirk 10;10;Stadtbezirk 10
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;1;Stadtbezirk 1;11;11 Altstadt;001;001 Altstadt/Carlstadt/Stadtmitte/Pempelfort West;1101;1101 Eiskellerstraße 11;W;N;1;Stadtbezirk 1;1;Stadtbezirk 1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;1;Stadtbezirk 1;11;11 Altstadt;001;001 Altstadt/Carlstadt/Stadtmitte/Pempelfort West;1190;1190 Briefwahlbezirk;B;N;1;Stadtbezirk 1;1;Stadtbezirk 1
0.3;05111000;13.09.2020;Bezirksvertretungswahl NRW;05111000;Landeshauptstadt Düsseldorf;;;1;Stadtbezirk 1;12;12 Carlstadt;001;001 Altstadt/Carlstadt/Stadtmitte/Pempelfort West;1201;1201 Bastionstraße 24;W;N;1;Stadtbezirk 1;1;Stadtbezirk 1
