version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;1;CDU;Christlich Demokratische Union Deutschlands;#4b4b4b;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;4;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;5;DIE LINKE;DIE LINKE;#d01d5c;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;6;AfD;Alternative für Deutschland;#1874cd;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;7;PIRATEN;Piratenpartei Deutschland;#ff8800;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;8;FREIE WÄHLER;Unabhängige Wählergemeinschaft für Düsseldorf;#000000;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;9;REP;DIE REPUBLIKANER;#cccccc;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;10;TIERSCHUTZ hier!;Aktion Partei für Tierschutz;#43cd80;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;11;;Einzelbewerber#Michael Baumeister;#0a9623;E
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;12;DSP;Deutsche Sportpartei;#9acd32;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;13;;Klimaliste Düsseldorf;#228b22;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;14;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a1a1a1;P
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Wahl des/der Oberbürgermeisters/in;15;Volt;Volt Deutschland;#68228b;P
