version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0101;0101 Adam-Stegerwald-Straße 14;27.09.2020 18:11:06;1076;124;0;1200;180;0;0;180;92;88
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0102;0102 Adam-Stegerwald-Straße 14;27.09.2020 18:09:58;1037;51;0;1088;139;0;1;138;50;88
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0103;0103 Stettiner Straße 98;27.09.2020 18:21:42;1208;157;0;1365;240;0;1;239;103;136
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0104;0104 Stettiner Straße 98;28.09.2020 09:50:32;1314;186;0;1500;264;0;2;262;137;125
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0105;0105 Neustrelitzer Straße 10;27.09.2020 18:29:51;1351;134;0;1485;160;0;1;159;75;84
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0106;0106 Josef-Kleesattel-Straße 13;27.09.2020 18:23:33;1360;252;0;1612;320;0;1;319;152;167
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0107;0107 Josef-Kleesattel-Straße 13;27.09.2020 18:31:43;1252;211;0;1463;282;0;1;281;137;144
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0108;0108 Emil-Barth-Straße 45;28.09.2020 09:50:43;1271;219;0;1490;363;0;4;359;169;190
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0109;0109 Ricarda-Huch-Straße 1;27.09.2020 18:44:36;1293;294;0;1587;388;0;0;388;224;164
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0190;0190 Briefwahlbezirk;27.09.2020 18:34:01;0;0;0;0;561;561;4;557;325;232
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0191;0191 Briefwahlbezirk;27.09.2020 18:26:45;0;0;0;0;697;697;1;696;382;314
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0201;0201 Ingeborg-Bachmann-Straße 31;27.09.2020 18:14:02;726;249;0;975;256;0;0;256;149;107
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0202;0202 Ingeborg-Bachmann-Straße 31;27.09.2020 18:07:59;719;268;0;987;264;0;0;264;161;103
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0203;0203 Ingeborg-Bachmann-Straße 31;27.09.2020 18:23:19;1029;381;0;1410;475;0;2;473;289;184
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0204;0204 Ingeborg-Bachmann-Straße 31;28.09.2020 09:50:56;989;343;0;1332;437;0;1;436;267;169
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;0290;0290 Briefwahlbezirk;27.09.2020 19:25:32;0;0;0;0;1054;1054;6;1048;677;371
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1101;1101 Eiskellerstraße 11;27.09.2020 18:29:31;1372;415;0;1787;327;0;1;326;168;158
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1190;1190 Briefwahlbezirk;27.09.2020 18:40:12;0;0;0;0;332;332;2;330;216;114
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1201;1201 Bastionstraße 24;28.09.2020 09:51:10;1202;645;0;1847;495;0;5;490;323;167
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1290;1290 Briefwahlbezirk;27.09.2020 19:09:56;0;0;0;0;551;551;1;550;400;150
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1301;1301 Königsallee 57;27.09.2020 18:33:57;1412;466;0;1878;333;0;2;331;185;146
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1302;1302 Charlottenstraße 110;27.09.2020 18:20:15;1061;284;0;1345;203;0;4;199;68;131
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1303;1303 Charlottenstraße 110;27.09.2020 18:16:53;1000;192;0;1192;183;0;0;183;68;115
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1304;1304 Charlottenstraße 110;28.09.2020 09:51:22;1188;287;0;1475;177;0;2;175;77;98
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1305;1305 Charlottenstraße 110;27.09.2020 18:31:18;1152;343;0;1495;319;0;1;318;131;187
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1306;1306 Pempelforter Straße 40;27.09.2020 18:30:04;982;288;0;1270;213;0;3;210;92;118
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1307;1307 Gerresheimer Straße 34;27.09.2020 18:17:17;806;152;0;958;154;0;4;150;70;80
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1390;1390 Briefwahlbezirk;27.09.2020 19:29:52;0;0;0;0;375;375;5;370;227;143
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1391;1391 Briefwahlbezirk;27.09.2020 19:02:49;0;0;0;0;852;852;15;837;380;457
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1392;1392 Briefwahlbezirk;27.09.2020 18:38:44;0;0;0;0;352;352;6;346;154;192
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1401;1401 Pempelforter Straße 40;28.09.2020 09:51:30;1078;585;0;1663;394;0;3;391;196;195
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1402;1402 Bongardstraße 9;27.09.2020 18:30:26;1210;508;0;1718;512;0;1;511;219;292
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1403;1403 Franklinstraße 5;28.09.2020 09:51:40;1230;501;0;1731;452;0;5;447;180;267
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1404;1404 Pempelforter Straße 40;27.09.2020 18:24:34;1434;665;0;2099;470;0;1;469;227;242
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1405;1405 Franklinstraße 5;28.09.2020 09:51:48;1388;476;0;1864;378;0;4;374;181;193
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1406;1406 Franklinstraße 5;27.09.2020 18:32:46;1276;415;0;1691;375;0;5;370;137;233
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1407;1407 Gneisenaustraße 58-60;27.09.2020 18:27:13;1233;685;0;1918;437;0;1;436;239;197
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1408;1408 Gneisenaustraße 58-60;27.09.2020 18:34:19;1156;625;0;1781;420;0;2;418;171;247
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1409;1409 Bongardstraße 9;27.09.2020 18:31:44;1116;675;0;1791;418;0;0;418;219;199
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1410;1410 Bongardstraße 9;27.09.2020 18:31:29;1199;501;0;1700;384;0;0;384;169;215
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1411;1411 Scharnhorststraße 8;28.09.2020 09:51:57;1224;491;0;1715;410;0;3;407;168;239
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1412;1412 Scharnhorststraße 8;27.09.2020 18:20:00;1253;480;0;1733;453;0;1;452;188;264
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1413;1413 Lennestraße 5;27.09.2020 18:37:06;1188;367;0;1555;368;0;3;365;146;219
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1414;1414 Lennestraße 5;27.09.2020 18:28:09;1336;728;0;2064;465;0;3;462;230;232
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1490;1490 Briefwahlbezirk;27.09.2020 18:56:00;0;0;0;0;605;605;10;595;346;249
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1491;1491 Briefwahlbezirk;27.09.2020 18:14:47;0;0;0;0;1339;1339;20;1319;728;591
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1492;1492 Briefwahlbezirk;27.09.2020 19:04:35;0;0;0;0;927;927;16;911;514;397
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1493;1493 Briefwahlbezirk;27.09.2020 19:03:34;0;0;0;0;310;310;3;307;134;173
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1494;1494 Briefwahlbezirk;27.09.2020 19:11:20;0;0;0;0;1068;1068;2;1066;577;489
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1495;1495 Briefwahlbezirk;27.09.2020 18:36:23;0;0;0;0;1227;1227;6;1221;643;578
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1496;1496 Briefwahlbezirk;27.09.2020 19:16:50;0;0;0;0;873;873;6;867;524;343
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1501;1501 Ottweilerstraße 20;28.09.2020 09:52:05;1327;409;0;1736;425;0;3;422;189;233
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1502;1502 Scharnhorststraße 8;27.09.2020 19:33:06;1155;383;0;1538;346;0;1;345;144;201
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1503;1503 Essener Straße 1;28.09.2020 09:52:15;1069;455;0;1524;393;0;2;391;170;221
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1504;1504 Essener Straße 1;27.09.2020 18:29:22;1043;328;0;1371;272;0;3;269;118;151
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1505;1505 Essener Straße 1;27.09.2020 18:31:36;1241;447;0;1688;351;0;0;351;127;224
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1506;1506 Münsterstraße 156;27.09.2020 18:20:18;1287;420;0;1707;362;0;1;361;139;222
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1507;1507 Ottweilerstraße 20;27.09.2020 18:15:22;685;314;0;999;199;0;1;198;106;92
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1508;1508 Münsterstraße 156;27.09.2020 18:20:28;1022;392;0;1414;285;0;5;280;137;143
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1509;1509 Tersteegenstraße 62;27.09.2020 18:09:49;782;385;0;1167;248;0;2;246;114;132
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1510;1510 Ottweilerstraße 20;27.09.2020 18:21:44;920;320;0;1240;275;0;2;273;93;180
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1511;1511 Ottweilerstraße 20;27.09.2020 18:24:57;797;346;0;1143;286;0;0;286;133;153
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1590;1590 Briefwahlbezirk;27.09.2020 18:44:23;0;0;0;0;324;324;2;322;187;135
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1591;1591 Briefwahlbezirk;27.09.2020 18:43:17;0;0;0;0;927;927;8;919;432;487
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1592;1592 Briefwahlbezirk;27.09.2020 18:41:30;0;0;0;0;978;978;40;938;475;463
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1593;1593 Briefwahlbezirk;27.09.2020 18:48:58;0;0;0;0;317;317;2;315;172;143
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1594;1594 Briefwahlbezirk;27.09.2020 18:31:13;0;0;0;0;866;866;4;862;466;396
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1601;1601 Tersteegenstraße 62;27.09.2020 18:28:16;1238;405;0;1643;443;0;0;443;268;175
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1602;1602 Tersteegenstraße 62;27.09.2020 18:27:17;1159;629;0;1788;508;0;1;507;324;183
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1603;1603 Rolandstraße 40;27.09.2020 18:32:04;814;560;0;1374;318;0;1;317;189;128
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1604;1604 Rolandstraße 40;28.09.2020 09:52:24;1216;624;0;1840;576;0;3;573;265;308
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1605;1605 Rolandstraße 40;27.09.2020 18:38:13;1000;483;0;1483;385;0;1;384;150;234
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1606;1606 Rolandstraße 40;27.09.2020 18:46:14;978;579;0;1557;498;0;4;494;235;259
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1690;1690 Briefwahlbezirk;27.09.2020 18:50:53;0;0;0;0;1342;1342;2;1340;955;385
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;1691;1691 Briefwahlbezirk;27.09.2020 18:40:54;0;0;0;0;1393;1393;3;1390;750;640
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2101;2101 Hubbelrather Straße 13;27.09.2020 18:18:39;1236;257;0;1493;268;0;2;266;79;187
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2102;2102 Hubbelrather Straße 13;27.09.2020 18:29:40;1101;258;0;1359;223;0;2;221;81;140
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2103;2103 Hubbelrather Straße 13;27.09.2020 18:22:13;1306;293;0;1599;313;0;3;310;108;202
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2104;2104 Hubbelrather Straße 13;27.09.2020 18:17:28;965;169;0;1134;176;0;3;173;53;120
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2105;2105 Hubbelrather Straße 13;28.09.2020 09:52:33;1142;189;0;1331;217;0;0;217;42;175
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2190;2190 Briefwahlbezirk;27.09.2020 18:31:18;0;0;0;0;397;397;4;393;149;244
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2191;2191 Briefwahlbezirk;27.09.2020 19:05:44;0;0;0;0;513;513;5;508;177;331
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2201;2201 Rethelstraße 13;27.09.2020 18:29:58;1293;410;0;1703;318;0;0;318;124;194
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2202;2202 Lindenstraße 102;27.09.2020 18:36:14;1140;555;0;1695;478;0;8;470;165;305
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2203;2203 Ackerstraße 174;27.09.2020 18:42:06;1247;487;0;1734;507;0;4;503;191;312
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2204;2204 Ackerstraße 174;27.09.2020 18:26:42;910;338;0;1248;240;0;2;238;77;161
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2205;2205 Karl-Müller-Straße 25;28.09.2020 09:53:00;1098;618;0;1716;483;0;3;480;172;308
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2206;2206 Flurstraße 59;27.09.2020 18:27:49;999;284;0;1283;310;0;0;310;107;203
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2207;2207 Karl-Müller-Straße 25;27.09.2020 18:30:24;1892;969;0;2861;554;0;0;554;257;297
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2208;2208 Schlüterstraße 18 - 20;27.09.2020 18:18:22;1091;141;0;1232;206;0;2;204;93;111
0.3;05111000;27.09.2020;Oberbürgermeisterstichwahl NRW;2209;2209 Flurstraße 59;27.09.2020 18:20:00;1089;246;0;1335;247;0;3;244;104;140
