version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;03159016;09.06.2024;Europawahl;;;1;CDU;;#32302e;P
0.3;03159016;09.06.2024;Europawahl;;;2;GRÜNE;;#33cc00;P
0.3;03159016;09.06.2024;Europawahl;;;3;SPD;;#d60029;P
0.3;03159016;09.06.2024;Europawahl;;;4;AfD;;#00b2ee;P
0.3;03159016;09.06.2024;Europawahl;;;5;FDP;;#fbee31;P
0.3;03159016;09.06.2024;Europawahl;;;6;DIE LINKE;;#d01d5c;P
0.3;03159016;09.06.2024;Europawahl;;;7;Die PARTEI;;#b22222;P
0.3;03159016;09.06.2024;Europawahl;;;8;Tierschutzpartei;;#4682b4;P
0.3;03159016;09.06.2024;Europawahl;;;9;PIRATEN;;#ff8800;P
0.3;03159016;09.06.2024;Europawahl;;;10;FREIE WÄHLER;;#ff9b54;P
0.3;03159016;09.06.2024;Europawahl;;;11;FAMILIE;;#00ccff;P
0.3;03159016;09.06.2024;Europawahl;;;12;Volt;;#8b2252;P
0.3;03159016;09.06.2024;Europawahl;;;13;ÖDP;;#ffa338;P
0.3;03159016;09.06.2024;Europawahl;;;14;TIERSCHUTZ hier!;;#104e8b;P
0.3;03159016;09.06.2024;Europawahl;;;15;MERA25;;#e4151f;P
0.3;03159016;09.06.2024;Europawahl;;;16;HEIMAT;;#d79e2a;P
0.3;03159016;09.06.2024;Europawahl;;;17;PdH;;#ee225a;P
0.3;03159016;09.06.2024;Europawahl;;;18;Bündnis C;;#1874cd;P
0.3;03159016;09.06.2024;Europawahl;;;19;Partei für schulmedizinische Verjüngungsforschung;;#83db89;P
0.3;03159016;09.06.2024;Europawahl;;;20;BIG;;#ee7600;P
0.3;03159016;09.06.2024;Europawahl;;;21;MENSCHLICHE WELT;;#ee7621;P
0.3;03159016;09.06.2024;Europawahl;;;22;DKP;;#ff0000;P
0.3;03159016;09.06.2024;Europawahl;;;23;MLPD;;#b22222;P
0.3;03159016;09.06.2024;Europawahl;;;24;SGP;;#b22222;P
0.3;03159016;09.06.2024;Europawahl;;;25;ABG;;#7f3782;P
0.3;03159016;09.06.2024;Europawahl;;;26;dieBasis;;#7ac5cd;P
0.3;03159016;09.06.2024;Europawahl;;;27;BÜNDNIS DEUTSCHLAND;;#e72d71;P
0.3;03159016;09.06.2024;Europawahl;;;28;BSW;;#a11d4a;P
0.3;03159016;09.06.2024;Europawahl;;;29;DAVA;;#058f92;P
0.3;03159016;09.06.2024;Europawahl;;;30;KLIMALISTE;;#bedc0a;P
0.3;03159016;09.06.2024;Europawahl;;;31;LETZTE GENERATION;;#334155;P
0.3;03159016;09.06.2024;Europawahl;;;32;PDV;;#32648b;P
0.3;03159016;09.06.2024;Europawahl;;;33;PdF;;#f5a419;P
0.3;03159016;09.06.2024;Europawahl;;;34;V-Partei³;;#9acd32;P
