version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;101;101 Lohberg (1);09.06.2024 17:12:13 210;642;164;0;806;352;0;5;347;181;166
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;102;102 Lohberg (2);09.06.2024 17:12:13 210;722;129;0;851;348;1;5;343;169;174
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;103;103 Breslauer Straße (1);09.06.2024 17:12:13 210;858;151;0;1009;463;358;14;449;280;169
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;104;104 Breslauer Straße (2);09.06.2024 17:12:13 210;667;79;0;746;313;0;0;313;150;163
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;105;105 Beethovenstraße (1);09.06.2024 17:12:13 210;891;220;0;1111;474;0;2;472;286;186
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;106;106 Beethovenstraße (2);09.06.2024 17:12:13 210;828;208;0;1036;514;0;6;508;277;231
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;107;107 Schillerwiese (1);09.06.2024 17:12:13 210;745;225;0;970;496;3;4;492;251;241
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;108;108 Schillerwiese (2);09.06.2024 17:12:13 210;574;150;0;724;361;0;5;356;145;211
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;109;109 Rohnsweg;09.06.2024 17:12:13 210;636;228;0;864;402;0;4;398;187;211
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;110;110 Hermann-Föge-Weg;09.06.2024 17:12:13 210;499;134;0;633;347;262;9;338;202;136
