version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;BRIEFWAHLBEZIRK-NR;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;101;Stadt Göttingen - 101 Lohberg (1);164;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;102;Stadt Göttingen - 102 Lohberg (2);164;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;103;Stadt Göttingen - 103 Breslauer Straße (1);164;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;104;Stadt Göttingen - 104 Breslauer Straße (2);164;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;105;Stadt Göttingen - 105 Beethovenstraße (1);165;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;106;Stadt Göttingen - 106 Beethovenstraße (2);165;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;107;Stadt Göttingen - 107 Schillerwiese (1);166;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;108;Stadt Göttingen - 108 Schillerwiese (2);166;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;109;Stadt Göttingen - 109 Rohnsweg;166;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;110;Stadt Göttingen - 110 Hermann-Föge-Weg;165;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;111;Stadt Göttingen - 111 Grotefendstraße (1);167;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;112;Stadt Göttingen - 112 Nonnenstieg (1);167;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;113;Stadt Göttingen - 113 Nonnenstieg (2);167;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;114;Stadt Göttingen - 114 Nikolausberg (1);163;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;115;Stadt Göttingen - 115 Nikolausberg (2);163;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;116;Stadt Göttingen - 116 Roringen;162;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;117;Stadt Göttingen - 117 Herberhausen (1);161;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;118;Stadt Göttingen - 118 Herberhausen (2);161;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;119;Stadt Göttingen - 119 Nikolausberg (3);163;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;120;Stadt Göttingen - 120 Grotefendstraße (2);167;W;;;;;
0.3;03159016;09.06.2024;„Radentscheid I - Allgemeine Strategien“;03159016;Stadt Göttingen;;;;;;;;;201;Stadt Göttingen - 201 Stegemühlenweg (1);261;W;;;;;
