version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;101;101 Lohberg (1);09.06.2024 17:12:13 210;642;164;0;806;352;0;7;345;139;206
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;102;102 Lohberg (2);09.06.2024 17:12:13 210;722;129;0;851;348;1;8;340;137;203
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;103;103 Breslauer Straße (1);09.06.2024 17:12:13 210;858;151;0;1009;461;358;15;446;220;226
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;104;104 Breslauer Straße (2);09.06.2024 17:12:13 210;667;79;0;746;313;0;1;312;133;179
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;105;105 Beethovenstraße (1);09.06.2024 17:12:13 210;891;220;0;1111;474;0;4;470;229;241
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;106;106 Beethovenstraße (2);09.06.2024 17:12:13 210;828;208;0;1036;514;0;8;506;228;278
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;107;107 Schillerwiese (1);09.06.2024 17:12:13 210;745;225;0;970;496;3;4;492;196;296
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;108;108 Schillerwiese (2);09.06.2024 17:12:13 210;574;150;0;724;361;0;6;355;114;241
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;109;109 Rohnsweg;09.06.2024 17:12:13 210;636;228;0;864;403;0;5;398;148;250
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;110;110 Hermann-Föge-Weg;09.06.2024 17:12:13 210;499;134;0;633;348;263;12;336;165;171
