version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26;D27;F27;D28;F28
0.3;05914000;26.09.2021;Bundestagswahl;1011;1011 Volkspark;26.09.2021 15:20:19 989;744;206;0;950;266;1;4;262;8;258;56;45;88;89;26;28;39;38;30;30;9;5;6;5;0;2;0;0;0;0;0;2;0;0;0;1;0;1;1;0;0;0;0;1;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1012;1012 Theater;26.09.2021 15:20:19 989;514;165;0;679;237;5;4;233;3;234;59;55;82;75;24;20;23;30;20;24;17;17;5;4;0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;26.09.2021 15:20:19 989;1063;385;0;1448;452;3;8;444;8;444;72;73;158;149;43;44;62;55;58;50;25;27;11;4;0;12;0;4;2;1;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;6;10;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;4;5;0
0.3;05914000;26.09.2021;Bundestagswahl;1014;1014 Kratzkopf;26.09.2021 15:20:19 989;494;258;0;752;213;3;4;209;1;212;48;40;67;68;20;27;23;26;27;21;13;13;5;1;0;5;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1021;1021 Volmeaue;26.09.2021 15:20:19 989;721;208;0;929;271;0;2;269;2;269;61;54;99;90;31;37;32;29;27;34;10;8;4;1;0;2;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;2;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1022;1022 Funckepark;26.09.2021 15:20:19 989;550;294;0;844;288;3;6;282;6;282;74;67;65;60;33;37;25;22;55;49;10;21;8;2;0;5;0;1;5;4;0;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;0;1;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1023;1023 Yorckstr.;26.09.2021 15:20:19 989;673;207;0;880;252;1;3;249;5;247;55;47;84;70;20;29;26;23;37;29;13;14;7;2;0;6;0;2;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4;2;0;0;0;0;0;1;0;0;0;0;0;1;0;16;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1024;1024 Funckestr.;26.09.2021 15:20:19 989;624;265;0;889;340;0;9;331;1;339;67;65;115;119;28;34;45;44;42;47;17;11;4;1;0;2;0;1;5;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;1;0;0;0;0;0;0;0;8;0;0;6;0
0.3;05914000;26.09.2021;Bundestagswahl;1025;1025 Am Ischeland;26.09.2021 15:20:19 989;462;322;0;784;273;1;3;270;3;270;73;69;74;83;28;30;36;31;45;39;5;6;5;2;0;4;0;1;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1031;1031 Adolf- / Sedanstr.;26.09.2021 15:20:19 989;828;163;0;991;223;2;3;220;3;220;39;33;92;72;14;20;33;29;20;21;10;10;7;5;0;4;0;3;2;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;17;0;0;0;0
0.3;05914000;26.09.2021;Bundestagswahl;1032;1032 Brink- / Altenhagener Str.;26.09.2021 15:20:19 989;772;140;0;912;275;2;11;264;8;267;41;43;105;80;31;26;33;39;17;21;23;14;4;1;0;6;0;0;6;6;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;26;0;0;2;0
0.3;05914000;26.09.2021;Bundestagswahl;1033;1033 St.-Josefs-Hospital;26.09.2021 15:20:19 989;573;147;0;720;229;2;4;225;2;227;40;37;83;67;14;15;39;41;25;20;13;12;4;5;0;3;0;4;2;3;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15;0;0;3;0
0.3;05914000;26.09.2021;Bundestagswahl;1034;1034 Kinkelstraße;26.09.2021 15:20:19 989;685;276;0;961;363;0;5;358;2;361;78;69;120;117;33;38;51;47;51;45;13;14;4;3;0;9;0;2;6;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;9;0;1;1;0
0.3;05914000;26.09.2021;Bundestagswahl;1041;1041 Zur Heide;26.09.2021 15:20:19 989;726;282;0;1008;435;2;6;429;2;433;106;99;153;150;40;42;47;48;43;37;15;18;6;3;0;9;0;2;5;3;0;1;0;0;0;0;0;1;1;1;0;0;0;2;0;0;6;6;0;2;0;0;0;0;0;0;0;0;0;0;0;8;0;1;7;0
