version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;09.06.2024;Europawahl;;;1;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;09.06.2024;Europawahl;;;2;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;09.06.2024;Europawahl;;;3;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;09.06.2024;Europawahl;;;4;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;09.06.2024;Europawahl;;;5;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;09.06.2024;Europawahl;;;6;DIE LINKE;DIE LINKE;#cc0066;P
0.3;05914000;09.06.2024;Europawahl;;;7;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;09.06.2024;Europawahl;;;8;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;#0070c0;P
0.3;05914000;09.06.2024;Europawahl;;;9;PIRATEN;Piratenpartei Deutschland;#ff8800;P
0.3;05914000;09.06.2024;Europawahl;;;10;Volt;Volt Deutschland;#6600cc;P
0.3;05914000;09.06.2024;Europawahl;;;11;FAMILIE;Familien-Partei Deutschlands;#e26b0a;P
0.3;05914000;09.06.2024;Europawahl;;;12;FREIE WÄHLER;FREIE WÄHLER;#366092;P
0.3;05914000;09.06.2024;Europawahl;;;13;ÖDP;Ökologisch-Demokratische Partei;#ff6600;P
0.3;05914000;09.06.2024;Europawahl;;;14;BIG;Bündnis für Innovation und Gerechtigkeit;#ff9933;P
0.3;05914000;09.06.2024;Europawahl;;;15;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;#3d6270;P
0.3;05914000;09.06.2024;Europawahl;;;16;TIERSCHUTZ hier!;Aktion Partei  für Tierschutz - DAS ORIGINAL;#33cc00;P
0.3;05914000;09.06.2024;Europawahl;;;17;PdH;Partei der Humanisten;#082f3d;P
0.3;05914000;09.06.2024;Europawahl;;;18;HEIMAT;Die Heimat;#174715;P
0.3;05914000;09.06.2024;Europawahl;;;19;Bündnis C;Bündnis C - Christen für Deutschland;#0070c0;P
0.3;05914000;09.06.2024;Europawahl;;;20;Partei für schulmedizinische Verjüngungsforschung;Partei für schulmedizinische Verjüngungsforschung;#373b08;P
0.3;05914000;09.06.2024;Europawahl;;;21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;#ff6600;P
0.3;05914000;09.06.2024;Europawahl;;;22;MLPD;Marxistisch-Leninistische Partei Deutschlands;#ff0000;P
0.3;05914000;09.06.2024;Europawahl;;;23;DKP;Deutsche Kommunistische Partei;#ff0000;P
0.3;05914000;09.06.2024;Europawahl;;;24;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;#e10000;P
0.3;05914000;09.06.2024;Europawahl;;;25;ABG;Aktion Bürger für Gerechtigkeit;#cc4747;P
0.3;05914000;09.06.2024;Europawahl;;;26;dieBasis;Basisdemokratische Partei Deutschland;#8db4e2;P
0.3;05914000;09.06.2024;Europawahl;;;27;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;#dee600;P
0.3;05914000;09.06.2024;Europawahl;;;28;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;#471330;P
0.3;05914000;09.06.2024;Europawahl;;;29;DAVA;Demokratische Allianz für Vielfalt und Aufbruch;#0b2440;P
0.3;05914000;09.06.2024;Europawahl;;;30;KLIMALISTE;Klimaliste Deutschland;#146921;P
0.3;05914000;09.06.2024;Europawahl;;;31;LETZTE GENERATION;Parlament aufmischen - Stimme der Letzten Generation;#2c0b30;P
0.3;05914000;09.06.2024;Europawahl;;;32;PDV;Partei der Vernunft;#431761;P
0.3;05914000;09.06.2024;Europawahl;;;33;PdF;Partei des Fortschritts;#1817c7;P
0.3;05914000;09.06.2024;Europawahl;;;34;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;#646464;P
