version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;BRIEFWAHLBEZIRK-NR;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;01;01 Mittelstadt;1011;Stadt Hagen - 1011 Volkspark;9001;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;01;01 Mittelstadt;1012;Stadt Hagen - 1012 Theater;9001;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;01;01 Mittelstadt;1013;Stadt Hagen - 1013 Friedrich-Ebert-Platz / Kunstquartier;9001;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;01;01 Mittelstadt;1014;Stadt Hagen - 1014 Kratzkopf;9001;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;02;02 Altenhagen-Süd;1021;Stadt Hagen - 1021 Volmeaue;9002;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;02;02 Altenhagen-Süd;1022;Stadt Hagen - 1022 Funckepark;9002;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;02;02 Altenhagen-Süd;1023;Stadt Hagen - 1023 Yorckstr.;9002;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;02;02 Altenhagen-Süd;1024;Stadt Hagen - 1024 Funckestr.;9002;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;02;02 Altenhagen-Süd;1025;Stadt Hagen - 1025 Am Ischeland;9002;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;03;03 Altenhagen-West;1031;Stadt Hagen - 1031 Adolf- / Sedanstr.;9003;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;03;03 Altenhagen-West;1032;Stadt Hagen - 1032 Brink- / Altenhagener Str.;9003;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;03;03 Altenhagen-West;1033;Stadt Hagen - 1033 St.-Josefs-Hospital;9003;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;03;03 Altenhagen-West;1034;Stadt Hagen - 1034 Kinkelstr.;9003;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;04;04 Altenhagen-Ost;1041;Stadt Hagen - 1041 Zur Heide;9004;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;04;04 Altenhagen-Ost;1042;Stadt Hagen - 1042 Alexander- / Alleestr.;9004;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;04;04 Altenhagen-Ost;1043;Stadt Hagen - 1043 Ginsterheide;9004;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;04;04 Altenhagen-Ost;1044;Stadt Hagen - 1044 Polizeipräsidium;9004;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;05;05 Fleyer Viertel;1051;Stadt Hagen - 1051 Höing;9005;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;05;05 Fleyer Viertel;1052;Stadt Hagen - 1052 Fleyer Str.;9005;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;05;05 Fleyer Viertel;1053;Stadt Hagen - 1053 Tondernsiedlung;9005;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;05;05 Fleyer Viertel;1054;Stadt Hagen - 1054 Lützowstr.;9005;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;05;05 Fleyer Viertel;1055;Stadt Hagen - 1055 Bredelle;9005;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;06;06 Eppenhausen;1061;Stadt Hagen - 1061 Walddorfstr.;9006;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;06;06 Eppenhausen;1062;Stadt Hagen - 1062 Ascherothstr.;9006;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;06;06 Eppenhausen;1063;Stadt Hagen - 1063 Boloh;9006;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;06;06 Eppenhausen;1064;Stadt Hagen - 1064 Haferkamp;9006;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;06;06 Eppenhausen;1065;Stadt Hagen - 1065 Fachhochschule;9006;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;07;07 Emst;1071;Stadt Hagen - 1071 Am Waldesrand;9007;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;07;07 Emst;1072;Stadt Hagen - 1072 Alt-Emst;9007;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;07;07 Emst;1073;Stadt Hagen - 1073 Fritz-Steinhoff-Park;9007;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;07;07 Emst;1074;Stadt Hagen - 1074 Max-Planck-Str. / Haßley;9007;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;07;07 Emst;1075;Stadt Hagen - 1075 Bissingheim;9007;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;08;08 Remberg;1081;Stadt Hagen - 1081 Haldener Str.;9008;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;08;08 Remberg;1082;Stadt Hagen - 1082 Rembergstr.;9008;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;08;08 Remberg;1083;Stadt Hagen - 1083 Eickertstr.;9008;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;08;08 Remberg;1084;Stadt Hagen - 1084 Bülowstr.;9008;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;08;08 Remberg;1085;Stadt Hagen - 1085 Eppenhauser Str.;9008;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;09;09 Wehringhausen/Stadtgarten;1091;Stadt Hagen - 1091 Minervastr.;9009;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;09;09 Wehringhausen/Stadtgarten;1092;Stadt Hagen - 1092 St. Michael-Kirche;9009;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;09;09 Wehringhausen/Stadtgarten;1093;Stadt Hagen - 1093 Stadtgarten;9009;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;09;09 Wehringhausen/Stadtgarten;1094;Stadt Hagen - 1094 Sternwarte;9009;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;10;10 Wehringhausen/Kuhlerkamp;1101;Stadt Hagen - 1101 Cunosiedlung;9010;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;10;10 Wehringhausen/Kuhlerkamp;1102;Stadt Hagen - 1102 Kuhlerkamp;9010;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;10;10 Wehringhausen/Kuhlerkamp;1103;Stadt Hagen - 1103 Wehringhauser Str. / Philippshöhe;9010;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;10;10 Wehringhausen/Kuhlerkamp;1104;Stadt Hagen - 1104 Södingstr.;9010;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;10;10 Wehringhausen/Kuhlerkamp;1105;Stadt Hagen - 1105 Feuerwache Mitte;9010;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;10;10 Wehringhausen/Kuhlerkamp;1106;Stadt Hagen - 1106 Wilhelmsplatz;9010;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;11;11 Boele/Hengstey/Brockhausen;2111;Stadt Hagen - 2111 Brockhausen;9011;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;11;11 Boele/Hengstey/Brockhausen;2112;Stadt Hagen - 2112 Niedernhofstr.;9011;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;11;11 Boele/Hengstey/Brockhausen;2113;Stadt Hagen - 2113 Hilgenland;9011;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;11;11 Boele/Hengstey/Brockhausen;2114;Stadt Hagen - 2114 Hagener Str.;9011;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;11;11 Boele/Hengstey/Brockhausen;2115;Stadt Hagen - 2115 Boele Kirche;9011;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;11;11 Boele/Hengstey/Brockhausen;2116;Stadt Hagen - 2116 Allensteiner Str. / Hengstey;9011;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;12;12 Kabel/Bathey/Garenfeld;2121;Stadt Hagen - 2121 Fritz-Steinhoff-Schule;9012;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;12;12 Kabel/Bathey/Garenfeld;2122;Stadt Hagen - 2122 Borgenfeldstr.;9012;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;12;12 Kabel/Bathey/Garenfeld;2123;Stadt Hagen - 2123 Knüwenstr.;9012;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;12;12 Kabel/Bathey/Garenfeld;2124;Stadt Hagen - 2124 Steinhausstr.;9012;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;12;12 Kabel/Bathey/Garenfeld;2125;Stadt Hagen - 2125 Bathey;9012;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;12;12 Kabel/Bathey/Garenfeld;2126;Stadt Hagen - 2126 Garenfeld;9012;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;13;13 Helfe/Fley;2131;Stadt Hagen - 2131 Helfer Str.;9013;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;13;13 Helfe/Fley;2132;Stadt Hagen - 2132 AWO-Heim Helfe;9013;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;13;13 Helfe/Fley;2133;Stadt Hagen - 2133 Louise-Schröder-Str.;9013;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;13;13 Helfe/Fley;2134;Stadt Hagen - 2134 Fley;9013;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;13;13 Helfe/Fley;2135;Stadt Hagen - 2135 Buschstr.;9013;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;13;13 Helfe/Fley;2136;Stadt Hagen - 2136 Pappelstr.;9013;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;14;14 Boelerheide;2141;Stadt Hagen - 2141 Freiligrathstr.;9014;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;14;14 Boelerheide;2142;Stadt Hagen - 2142 Sonntagstr.;9014;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;14;14 Boelerheide;2143;Stadt Hagen - 2143 Wilhelm-Leuschner-Str.;9014;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;14;14 Boelerheide;2144;Stadt Hagen - 2144 Hügelstr.;9014;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;14;14 Boelerheide;2145;Stadt Hagen - 2145 Hamecke;9014;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;15;15 Vorhalle/Eckesey;2151;Stadt Hagen - 2151 Masurenstr. / Aehringhausen / Voßacker;9015;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;15;15 Vorhalle/Eckesey;2152;Stadt Hagen - 2152 Vorhalle-Zentrum;9015;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;15;15 Vorhalle/Eckesey;2153;Stadt Hagen - 2153 Wielandplatz / Becheltestr.;9015;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;15;15 Vorhalle/Eckesey;2154;Stadt Hagen - 2154 Lindenstr. / Funkenhausen;9015;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;16;16 Hohenlimburg-Nord;3161;Stadt Hagen - 3161 Halden;9016;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;16;16 Hohenlimburg-Nord;3162;Stadt Hagen - 3162 Bandstahlstr.;9016;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;16;16 Hohenlimburg-Nord;3163;Stadt Hagen - 3163 Herbeck;9016;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;16;16 Hohenlimburg-Nord;3164;Stadt Hagen - 3164 Berchum;9016;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;16;16 Hohenlimburg-Nord;3165;Stadt Hagen - 3165 Reh / Henkhausen;9016;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;16;16 Hohenlimburg-Nord;3166;Stadt Hagen - 3166 Kirchenberg;9016;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;17;17 Hohenlimburg-Ost;3171;Stadt Hagen - 3171 Im Gersegge;9017;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;17;17 Hohenlimburg-Ost;3172;Stadt Hagen - 3172 Wiesenstr.;9017;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;17;17 Hohenlimburg-Ost;3173;Stadt Hagen - 3173 Im Sibb;9017;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;17;17 Hohenlimburg-Ost;3174;Stadt Hagen - 3174 Auf der Heide;9017;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;17;17 Hohenlimburg-Ost;3175;Stadt Hagen - 3175 Elsey;9017;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;17;17 Hohenlimburg-Ost;3176;Stadt Hagen - 3176 Bezirksverwaltungsstelle Hohenlimburg;9017;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;18;18 Hohenlimburg-Süd;3181;Stadt Hagen - 3181 Oeger Str. / Oege;9018;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;18;18 Hohenlimburg-Süd;3182;Stadt Hagen - 3182 Wilhelmstr.;9018;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;18;18 Hohenlimburg-Süd;3183;Stadt Hagen - 3183 Nahmertal;9018;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;18;18 Hohenlimburg-Süd;3184;Stadt Hagen - 3184 Wesselbach;9018;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;18;18 Hohenlimburg-Süd;3185;Stadt Hagen - 3185 Wesselbachstr.;9018;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;19;19 Hohenlimburg-West;3191;Stadt Hagen - 3191 Holthausen;9019;W;;;;;
0.3;05914000;09.06.2024;Europawahl;05914000;Stadt Hagen;;;;;;;19;19 Hohenlimburg-West;3192;Stadt Hagen - 3192 Elseyer Kirchplatz / Am Somborn;9019;W;;;;;
