version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;01;01 Mittelstadt;1011;1011 Volkspark;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;01;01 Mittelstadt;1012;1012 Theater;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;01;01 Mittelstadt;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;01;01 Mittelstadt;1014;1014 Kratzkopf;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1021;1021 Volmeaue;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1022;1022 Funckepark;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1023;1023 Yorckstr.;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1024;1024 Funckestr.;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1025;1025 Am Ischeland;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
0.2;05914000;13.09.2020;BV-Wahl;05914000;Stadt Hagen;;;;;1;Hagen-Mitte;03;03 Altenhagen-West;1031;1031 Adolf- / Sedanstr.;W;;;;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte
