version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.2;05914000;13.09.2020;RVR-Wahl;;;1;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.2;05914000;13.09.2020;RVR-Wahl;;;2;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.2;05914000;13.09.2020;RVR-Wahl;;;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.2;05914000;13.09.2020;RVR-Wahl;;;4;;DIE LINKE;#cc0066;P
0.2;05914000;13.09.2020;RVR-Wahl;;;5;FDP;Freie Demokratische Partei;#fbee31;P
0.2;05914000;13.09.2020;RVR-Wahl;;;6;AfD;Alternative für Deutschland;#21c5ff;P
0.2;05914000;13.09.2020;RVR-Wahl;;;7;PIRATEN;Piratenpartei Deutschland;#ff8800;P
0.2;05914000;13.09.2020;RVR-Wahl;;;8;FW FREIE WÄHLER NRW;Landesverband der Freien und Unabhängigen Bürger- und Wählergemeinschaften Nordrhein-Westfalen e.v.;#000000;P
0.2;05914000;13.09.2020;RVR-Wahl;;;9;UBP;Unabhängige-Bürger-Partei;#000000;P
0.2;05914000;13.09.2020;RVR-Wahl;;;10;ÖDP;Ökologisch-Demokratische Partei;#ff6600;P
0.2;05914000;13.09.2020;RVR-Wahl;;;11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.2;05914000;13.09.2020;RVR-Wahl;;;12;DAL;Duisburger Alternative Liste;#000000;P
0.2;05914000;13.09.2020;RVR-Wahl;;;13;DIE VIOLETTEN;Die Violetten;#d78bff;P
0.2;05914000;13.09.2020;RVR-Wahl;;;14;TIERSCHUTZ hier!;Aktion Partei für Tierschutz - DAS ORIGINAL;#33cc00;P
0.2;05914000;13.09.2020;RVR-Wahl;;;15;;Aktiv;#000000;P
0.2;05914000;13.09.2020;RVR-Wahl;;;16;Bündnis C;Bündnis C - Christen für Deutschland;#0070c0;P
0.2;05914000;13.09.2020;RVR-Wahl;;;17;iGemRuhr;Ideengemeinschft Ruhr;#000000;P
0.2;05914000;13.09.2020;RVR-Wahl;;;18;NATIONALES BÜNDNIS RUHRGEBIET;NATIONALES BÜNDNIS RUHRGEBIET - DIE RUHRALTERNATIVE;#000000;P
0.2;05914000;13.09.2020;RVR-Wahl;;;19;Basisdemokratie jetzt;Partei für Vielfalt, Zusammenarbeit und Gemeinwohl;#000000;P
0.2;05914000;13.09.2020;RVR-Wahl;;;20;UWG: Freie Bürger;Unabhängige Wähler-Gemeinschaft UWG: Freie Bürger;#000000;P
0.2;05914000;13.09.2020;RVR-Wahl;;;21;Volt;Volt Deutschland;#6600cc;P
