version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.2;05914000;13.09.2020;Ratswahl;;;1;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.2;05914000;13.09.2020;Ratswahl;;;2;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.2;05914000;13.09.2020;Ratswahl;;;3;GRÜNE;Bündnis 90/Die Grünen;#33cc00;P
0.2;05914000;13.09.2020;Ratswahl;;;4;;HAGEN AKTIV;#0000fc;P
0.2;05914000;13.09.2020;Ratswahl;;;5;DIE LINKE;Die Linke;#cc0066;P
0.2;05914000;13.09.2020;Ratswahl;;;6;AfD;Alternative für Deutschland;#21c5ff;P
0.2;05914000;13.09.2020;Ratswahl;;;7;FDP;Freie Demokratische Partei;#fbee31;P
0.2;05914000;13.09.2020;Ratswahl;;;8;BfHo;Freie Wähler - Bürger für Hohenlimburg;#9fe1d6;P
0.2;05914000;13.09.2020;Ratswahl;;;9;PIRATEN;Piratenpartei Deutschland;#ff8800;P
0.2;05914000;13.09.2020;Ratswahl;;;10;;Einzelbewerber Dervishi;#000000;E
0.2;05914000;13.09.2020;Ratswahl;;;11;REP;DIE REPUBLIKANER;#1640e8;P
0.2;05914000;13.09.2020;Ratswahl;;;12;HAK;Hagener Aktivisten-Kreis;#000000;P
0.2;05914000;13.09.2020;Ratswahl;;;13;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
