version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.2;05914000;13.09.2020;Ratswahl;1011;1011 Volkspark;;1112;181;0;1293;161;0;5;156;51;31;13;8;8;23;10;;2;;1;6;3
0.2;05914000;13.09.2020;Ratswahl;1012;1012 Theater;;939;177;0;1116;202;0;3;199;49;55;16;11;15;28;10;;1;;2;2;10
0.2;05914000;13.09.2020;Ratswahl;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;;1108;218;0;1326;229;0;5;224;55;44;41;20;17;22;4;;1;;3;6;11
0.2;05914000;13.09.2020;Ratswahl;1014;1014 Kratzkopf;;1118;197;0;1315;184;0;1;183;45;48;22;15;6;21;9;;1;;0;5;11
0.2;05914000;13.09.2020;Ratswahl;1021;1021 Volmeaue;;906;204;0;1110;193;2;3;190;48;44;29;9;9;22;14;;2;2;0;7;4
0.2;05914000;13.09.2020;Ratswahl;1022;1022 Funckepark;;754;242;0;996;238;1;10;228;50;50;39;18;11;30;14;;3;2;0;3;8
0.2;05914000;13.09.2020;Ratswahl;1023;1023 Yorckstr.;;767;155;0;922;175;0;4;171;47;33;25;16;9;18;10;;1;1;0;6;5
0.2;05914000;13.09.2020;Ratswahl;1024;1024 Funckestr.;;850;212;0;1062;276;0;3;273;77;54;41;18;6;39;17;;3;6;0;9;3
0.2;05914000;13.09.2020;Ratswahl;1025;1025 Am Ischeland;;651;263;0;914;196;1;3;193;37;46;40;14;1;36;8;;1;3;2;0;5
0.2;05914000;13.09.2020;Ratswahl;1031;1031 Adolf- / Sedanstr.;;1274;169;0;1443;93;0;3;90;21;20;10;5;8;14;1;;3;;0;5;3
0.2;05914000;13.09.2020;Ratswahl;1032;1032 Brink- / Altenhagener Str.;;1015;177;0;1192;135;0;6;129;42;15;11;6;10;21;3;;1;;1;16;3
0.2;05914000;13.09.2020;Ratswahl;1033;1033 St.-Josefs-Hospital;;1165;212;0;1377;180;4;3;177;52;30;21;7;7;31;3;;0;;0;20;6
