version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;1;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;4;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;5;HagenAKTIV;HagenAktiv-FWG;#0000fc;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;6;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;7;Die Linke;Die Linke;#cc0066;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;8;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;9;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;#471330;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;10;Die Gerechtigkeitspartei;Die Gerechtigkeitspartei – Team Todenhöfer;#a61e4d;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;11;Aufstehen Hagen - AHA!;Freie Wählergemeinschaft - Aufstehen Hagen - AHA!;#d94343;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Mitte;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Mitte;12;HAK;Hagener Aktivisten-Kreis;#ffe417;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Nord;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Nord;1;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Nord;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Nord;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;Hagen-Nord;Stimmzettel für die Wahl der Bezirksvertretung des Stadtbezirks Hagen-Nord;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
