version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1011;1011 Volkspark;15.09.2025 09:03:13 809;911;144;0;1055;116;4;1;115;19;14;5;38;3;3;3;1;9;5;1;14
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1012;1012 Theater;15.09.2025 09:03:13 809;1054;192;0;1246;219;0;2;217;58;52;7;47;4;3;17;2;4;3;1;19
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;15.09.2025 09:03:13 809;1188;240;0;1428;236;4;10;226;34;44;16;68;7;4;22;5;9;1;0;16
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1014;1014 Kratzkopf;15.09.2025 09:03:13 809;1153;282;0;1435;247;0;3;244;53;51;18;69;8;4;14;2;4;5;1;15
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1021;1021 Volmeaue;15.09.2025 09:03:13 809;903;171;0;1074;198;0;4;194;38;43;12;45;6;11;10;3;2;6;0;18
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1022;1022 Funckepark;15.09.2025 09:03:13 809;733;279;0;1012;227;2;1;226;69;43;29;41;4;5;13;1;2;3;2;14
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1023;1023 Yorckstr.;15.09.2025 09:03:13 809;813;161;0;974;185;0;2;183;44;29;10;49;6;8;9;3;8;3;2;12
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1024;1024 Funckestr.;15.09.2025 09:03:13 809;779;230;0;1009;283;2;2;281;53;55;28;94;10;8;14;4;6;1;0;8
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1025;1025 Am Ischeland;15.09.2025 09:03:13 809;622;313;0;935;207;;0;207;43;50;22;65;8;0;8;1;2;1;1;6
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1031;1031 Adolf- / Sedanstr.;15.09.2025 09:03:13 809;684;406;0;1090;64;0;1;63;9;7;3;16;2;5;7;1;2;3;1;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1032;1032 Brink- / Altenhagener Str.;15.09.2025 09:03:13 809;864;272;0;1136;128;0;4;124;19;17;8;37;3;1;12;0;6;2;0;19
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1033;1033 St.-Josefs-Hospital;15.09.2025 09:03:13 809;752;392;0;1144;96;;5;91;13;12;2;32;1;2;10;4;1;1;2;11
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1034;1034 Kinkelstr.;15.09.2025 09:03:13 809;1369;307;0;1676;371;0;9;362;51;98;37;93;6;6;24;6;15;1;6;19
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1041;1041 Zur Heide;15.09.2025 09:03:13 809;1082;283;0;1365;279;3;2;277;57;66;14;68;5;3;26;3;15;2;2;16
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1042;1042 Alexander- / Alleestr.;15.09.2025 09:03:13 809;887;152;0;1039;129;2;1;128;13;30;5;56;4;2;4;0;5;2;1;6
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1043;1043 Ginsterheide;15.09.2025 09:03:13 809;1005;291;0;1296;355;3;2;353;92;78;24;87;7;6;18;4;12;3;3;19
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1044;1044 Polizeipräsidium;15.09.2025 09:03:13 809;870;189;0;1059;223;;7;216;55;27;10;84;6;4;17;0;3;2;0;8
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1051;1051 Höing;15.09.2025 09:03:13 809;795;369;0;1164;431;0;2;429;133;74;75;82;10;18;17;3;9;2;0;6
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1052;1052 Fleyer Str.;15.09.2025 09:03:13 809;755;418;0;1173;442;0;5;437;158;75;60;75;18;22;14;5;6;2;1;1
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1053;1053 Tondernsiedlung;15.09.2025 09:03:13 809;559;273;0;832;293;0;11;282;72;55;26;73;11;14;18;2;6;1;0;4
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1054;1054 Lützowstr.;15.09.2025 09:03:13 809;679;274;0;953;364;0;3;361;142;54;36;69;10;16;13;4;8;0;0;9
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1055;1055 Bredelle;15.09.2025 09:03:13 809;796;456;0;1252;470;6;7;463;156;64;36;114;16;30;14;6;8;2;1;16
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1061;1061 Walddorfstr.;15.09.2025 09:03:13 809;880;408;0;1288;436;0;1;435;145;89;37;112;5;13;12;4;6;4;1;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1062;1062 Ascherothstr.;15.09.2025 09:03:13 809;941;423;0;1364;470;2;10;460;158;87;55;87;5;18;18;6;4;10;2;10
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1063;1063 Boloh;15.09.2025 09:03:13 809;849;305;0;1154;443;2;7;436;126;86;34;111;11;11;22;5;8;5;1;16
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1064;1064 Haferkamp;15.09.2025 09:03:13 809;746;271;0;1017;339;0;2;337;98;67;33;71;10;14;13;5;10;3;2;11
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1065;1065 Fachhochschule;15.09.2025 09:03:13 809;764;335;0;1099;295;0;7;288;71;43;21;83;14;12;17;0;12;2;0;13
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1071;1071 Am Waldesrand;15.09.2025 09:03:13 809;661;359;0;1020;334;2;7;327;123;58;16;73;6;18;8;1;8;5;0;11
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1072;1072 Alt-Emst;15.09.2025 09:03:13 809;835;404;0;1239;526;0;4;522;189;112;51;109;10;25;14;3;3;0;2;4
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1073;1073 Fritz-Steinhoff-Park;15.09.2025 09:03:13 809;854;293;0;1147;380;2;4;376;99;80;25;106;15;13;13;4;2;6;1;12
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1074;1074 Max-Planck-Str. / Haßley;15.09.2025 09:03:13 809;972;343;0;1315;384;4;8;376;100;54;33;128;11;14;12;5;1;9;2;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1075;1075 Bissingheim;15.09.2025 09:03:13 809;732;358;0;1090;435;;1;434;143;121;35;82;9;14;14;4;5;0;1;6
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1081;1081 Haldener Str.;15.09.2025 09:03:13 809;899;333;0;1232;393;1;6;387;102;73;23;114;19;12;14;7;8;4;2;9
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1082;1082 Rembergstr.;15.09.2025 09:03:13 809;1059;360;0;1419;268;6;10;258;31;43;13;100;11;7;24;3;10;3;2;11
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1083;1083 Eickertstr.;15.09.2025 09:03:13 809;957;382;0;1339;253;0;3;250;59;42;26;74;6;12;7;1;4;5;0;14
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1084;1084 Bülowstr.;15.09.2025 09:03:13 809;785;284;0;1069;252;0;7;245;46;58;7;85;9;6;19;2;6;2;2;3
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1085;1085 Eppenhauser Str.;15.09.2025 09:03:13 809;656;221;0;877;182;0;3;179;22;41;9;67;4;8;13;3;4;0;0;8
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1091;1091 Minervastr.;15.09.2025 09:03:13 809;829;144;0;973;244;;4;240;30;57;32;55;4;1;32;6;9;1;3;10
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1092;1092 St. Michael-Kirche;15.09.2025 09:03:13 809;1167;212;0;1379;327;0;2;325;40;57;48;80;7;2;53;11;11;1;0;15
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1093;1093 Stadtgarten;15.09.2025 09:03:13 809;1046;437;0;1483;423;2;7;416;71;99;62;90;20;9;44;1;5;5;2;8
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1094;1094 Sternwarte;15.09.2025 09:03:13 809;890;244;0;1134;298;1;10;288;51;70;22;85;12;3;25;7;7;0;1;5
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1101;1101 Cunosiedlung;15.09.2025 09:03:13 809;916;226;0;1142;321;2;3;318;72;66;27;99;15;7;10;2;10;2;1;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1102;1102 Kuhlerkamp;15.09.2025 09:03:13 809;853;387;0;1240;511;0;0;511;140;94;53;140;20;7;25;5;13;1;4;9
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1103;1103 Wehringhauser Str. / Philippshöhe;15.09.2025 09:03:13 809;651;103;0;754;82;;0;82;3;15;2;47;1;2;5;0;2;0;0;5
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1104;1104 Södingstr.;15.09.2025 09:03:13 809;678;157;0;835;84;2;3;81;7;13;1;24;1;0;13;6;2;4;0;10
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1105;1105 Feuerwache Mitte;15.09.2025 09:03:13 809;715;146;0;861;212;0;5;207;18;42;44;42;6;5;28;7;5;3;0;7
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1106;1106 Wilhelmsplatz;15.09.2025 09:03:13 809;690;152;0;842;125;0;1;124;16;18;14;29;7;1;21;2;3;3;1;9
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1201;1201 Springe / Tuchmacherstr.;15.09.2025 09:03:13 809;1171;152;0;1323;227;1;3;224;22;57;10;84;8;6;14;3;7;2;0;11
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;1202;1202 Oberhagen;15.09.2025 09:03:13 809;457;74;0;531;54;;1;53;2;10;4;18;1;0;3;4;3;5;0;3
0.3;05914000;14.09.2025;Wahl der Bezirksvertretung;6001;6001 Briefwahlbezirk;15.09.2025 09:03:13 809;0;0;0;0;249;249;1;248;40;67;25;40;7;6;5;0;15;6;2;35
