version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;1;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;2;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;4;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;5;HagenAKTIV;HagenAktiv-FWG;#0000fc;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;6;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;7;BfHo;Freie Wählergemeinschaft - Bürger für Hohenlimburg;#9fe1d6;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;8;Die Linke;Die Linke;#cc0066;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;9;HAK;Hagener Aktivisten-Kreis;#ffe417;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;10;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;11;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;#471330;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;12;Die Gerechtigkeitspartei;Die Gerechtigkeitspartei – Team Todenhöfer;#a61e4d;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);;;13;Aufstehen Hagen - AHA!;Freie Wählergemeinschaft - Aufstehen Hagen - AHA!;#d94343;P
