version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1011;1011 Volkspark;15.09.2025 09:03:13 809;911;144;0;1055;116;4;1;115;20;13;5;38;3;4;0;4;16;3;6;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1012;1012 Theater;15.09.2025 09:03:13 809;1054;192;0;1246;218;0;6;212;61;46;5;49;2;2;0;16;20;1;6;4;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1013;1013 Friedrich-Ebert-Platz / Kunstquartier;15.09.2025 09:03:13 809;1188;240;0;1428;235;4;10;225;34;42;13;71;12;5;0;20;17;4;5;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1014;1014 Kratzkopf;15.09.2025 09:03:13 809;1153;282;0;1435;247;0;2;245;57;51;18;68;6;2;0;14;19;2;4;4;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1021;1021 Volmeaue;15.09.2025 09:03:13 809;903;171;0;1074;198;0;5;193;39;40;9;44;8;12;0;11;22;2;2;4;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1022;1022 Funckepark;15.09.2025 09:03:13 809;733;279;0;1012;227;2;1;226;61;43;29;44;5;10;0;11;17;2;2;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1023;1023 Yorckstr.;15.09.2025 09:03:13 809;813;161;0;974;185;0;2;183;44;24;11;48;10;11;0;8;15;3;7;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1024;1024 Funckestr.;15.09.2025 09:03:13 809;779;230;0;1009;283;2;6;277;51;45;34;93;8;13;0;13;10;3;6;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1025;1025 Am Ischeland;15.09.2025 09:03:13 809;622;313;0;935;206;0;3;203;48;41;19;63;9;3;0;12;1;1;4;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1031;1031 Adolf- / Sedanstr.;15.09.2025 09:03:13 809;684;406;0;1090;64;0;1;63;9;7;1;15;3;5;0;6;10;1;2;3;1
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1032;1032 Brink- / Altenhagener Str.;15.09.2025 09:03:13 809;864;272;0;1136;129;0;4;125;17;20;8;40;1;1;0;11;19;0;4;2;2
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1033;1033 St.-Josefs-Hospital;15.09.2025 09:03:13 809;752;392;0;1144;97;0;1;96;13;13;4;33;1;2;0;8;14;4;1;1;2
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1034;1034 Kinkelstr.;15.09.2025 09:03:13 809;1369;307;0;1676;371;0;9;362;53;87;36;92;9;6;0;26;24;4;15;4;6
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1041;1041 Zur Heide;15.09.2025 09:03:13 809;1082;283;0;1365;276;0;6;270;55;58;17;71;7;4;0;24;15;3;13;1;2
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1042;1042 Alexander- / Alleestr.;15.09.2025 09:03:13 809;887;152;0;1039;129;2;2;127;19;28;3;54;1;2;0;5;7;1;4;1;2
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);1043;1043 Ginsterheide;15.09.2025 09:03:13 809;1005;291;0;1296;355;3;6;349;84;82;22;94;7;7;0;21;18;2;9;3;0
