version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;1;SPD;Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;2;CDU;Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;4;AfD;Alternative für Deutschland;#21c5ff;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;5;Die Linke;Die Linke;#cc0066;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;6;FDP;Freie Demokratische Partei;#fbee31;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;7;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;8;TIERSCHUTZ;Partei für Tierschutz;#28c971;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;9;Volt;Volt Deutschland;#6600cc;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;10;AUF-Ruhr;Auf-Ruhr - Antifaschistisch Unabhängig Fortschrittlich;#484eab;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;11;BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;#471330;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;12;Die Gerechtigkeitspartei;Die Gerechtigkeitspartei – Team Todenhöfer;#a61e4d;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;13;HEIMAT;Die Heimat;#174715;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;14;FAMILIE;Familien-Partei Deutschlands;#e26b0a;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;15;GUT;GUT - Gelsenkirchener Union für Teilhabe;#ff9933;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;16;PdH;Partei der Humanisten;#082f3d;P
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);;;17;WIN;Wähler Initiative Nordrhein-Westfalen - WIN;#5146e3;P
