version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;BRIEFWAHLBEZIRK-NR;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;01;01 Mittelstadt;1011;1011 Volkspark;6001;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;01;01 Mittelstadt;1012;1012 Theater;6001;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;01;01 Mittelstadt;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;6002;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;01;01 Mittelstadt;1014;1014 Kratzkopf;6002;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;02;02 Altenhagen-Süd;1021;1021 Volmeaue;6003;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;02;02 Altenhagen-Süd;1022;1022 Funckepark;6003;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;02;02 Altenhagen-Süd;1023;1023 Yorckstr.;6003;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;02;02 Altenhagen-Süd;1024;1024 Funckestr.;6004;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;02;02 Altenhagen-Süd;1025;1025 Am Ischeland;6004;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;03;03 Altenhagen-West;1031;1031 Adolf- / Sedanstr.;6005;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;03;03 Altenhagen-West;1032;1032 Brink- / Altenhagener Str.;6005;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;03;03 Altenhagen-West;1033;1033 St.-Josefs-Hospital;6006;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;03;03 Altenhagen-West;1034;1034 Kinkelstr.;6006;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;04;04 Altenhagen-Ost;1041;1041 Zur Heide;6007;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;04;04 Altenhagen-Ost;1042;1042 Alexander- / Alleestr.;6007;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;04;04 Altenhagen-Ost;1043;1043 Ginsterheide;6008;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;04;04 Altenhagen-Ost;1044;1044 Polizeipräsidium;6008;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;05;05 Fleyer Viertel;1051;1051 Höing;6009;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;05;05 Fleyer Viertel;1052;1052 Fleyer Str.;6009;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;05;05 Fleyer Viertel;1053;1053 Tondernsiedlung;6009;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;05;05 Fleyer Viertel;1054;1054 Lützowstr.;6010;W;;???;???Name;;
0.3;05914000;14.09.2025;Wahl der Vertretung der Verbandsversammlung des Regionalverbandes Ruhr (RVR);05914000;Stadt Hagen;;;;;Hagen-Mitte;Hagen-Mitte;05;05 Fleyer Viertel;1055;1055 Bredelle;6010;W;;???;???Name;;
