version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;1;Dennis Rehbein, CDU;Dennis Rehbein, Christlich Demokratische Union Deutschlands;#010101;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;2;Thomas Köhler, SPD;Thomas Köhler, Sozialdemokratische Partei Deutschlands;#d60029;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;3;Jörg Sven Holger Fritzsche, GRÜNE;Jörg Sven Holger Fritzsche, BÜNDNIS 90/DIE GRÜNEN;#33cc00;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;4;Michael Eiche, AfD;Michael Eiche, Alternative für Deutschland;#21c5ff;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;5;Dr. Josef Bücker, HagenAKTIV;Dr. Josef Bücker, HagenAktiv-FWG;#0000fc;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;6;Katja Graf, FDP;Katja Graf, Freie Demokratische Partei;#fbee31;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;7;Kaja Petersen, Die Linke;Kaja Petersen, Die Linke;#cc0066;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;8;Michael Tropp, HAK;Michael Tropp, Hagener Aktivisten-Kreis;#ffe417;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;9;Patrick Meyer, Die PARTEI;Patrick Meyer, Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;#a50021;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;10;Mohammad Maqsood Ikram, Die Gerechtigkeitspartei;Mohammad Maqsood Ikram, Die Gerechtigkeitspartei – Team Todenhöfer;#a61e4d;P
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;;;11;Philipp Jung, Einzelbewerber Jung;Philipp Jung, Einzelbewerber Jung;#2cc4c9;E
