version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1011;1011 Volkspark;15.09.2025 09:03:13 809;911;144;0;1055;116;4;2;114;18;12;5;35;3;1;5;15;1;6;13
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1012;1012 Theater;15.09.2025 09:03:13 809;1054;192;0;1246;218;0;10;208;49;44;6;45;5;0;16;20;1;1;21
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;15.09.2025 09:03:13 809;1188;240;0;1428;235;4;5;230;33;43;18;60;7;5;17;22;3;3;19
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1014;1014 Kratzkopf;15.09.2025 09:03:13 809;1153;282;0;1435;247;0;3;244;49;48;13;58;4;4;11;22;2;3;30
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1021;1021 Volmeaue;15.09.2025 09:03:13 809;903;171;0;1074;198;0;2;196;37;32;5;39;8;9;7;24;2;4;29
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1022;1022 Funckepark;15.09.2025 09:03:13 809;733;279;0;1012;227;2;1;226;49;44;17;33;3;3;8;13;4;3;49
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1023;1023 Yorckstr.;15.09.2025 09:03:13 809;813;161;0;974;185;1;0;185;32;31;5;46;5;7;11;10;3;2;33
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1024;1024 Funckestr.;15.09.2025 09:03:13 809;779;230;0;1009;283;2;1;282;53;55;19;88;7;5;9;12;4;1;29
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1025;1025 Am Ischeland;15.09.2025 09:03:13 809;622;313;0;935;206;0;2;204;36;43;15;60;6;0;4;9;0;2;29
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1031;1031 Adolf- / Sedanstr.;15.09.2025 09:03:13 809;684;406;0;1090;64;0;1;63;11;10;1;15;2;5;7;9;0;2;1
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1032;1032 Brink- / Altenhagener Str.;15.09.2025 09:03:13 809;864;272;0;1136;129;0;4;125;16;17;7;39;3;1;9;19;0;4;10
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1033;1033 St.-Josefs-Hospital;15.09.2025 09:03:13 809;752;392;0;1144;96;7;2;94;16;15;0;30;2;3;9;12;2;0;5
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1034;1034 Kinkelstr.;15.09.2025 09:03:13 809;1369;307;0;1676;371;0;4;367;52;98;25;88;10;6;18;29;3;2;36
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1041;1041 Zur Heide;15.09.2025 09:03:13 809;1082;283;0;1365;276;0;7;269;57;60;9;63;6;6;19;18;3;2;26
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1042;1042 Alexander- / Alleestr.;15.09.2025 09:03:13 809;887;152;0;1039;129;2;4;125;18;26;5;53;2;3;3;8;0;2;5
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1043;1043 Ginsterheide;15.09.2025 09:03:13 809;1005;291;0;1296;355;3;9;346;81;67;14;84;5;7;10;18;2;2;56
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1044;1044 Polizeipräsidium;15.09.2025 09:03:13 809;870;189;0;1059;223;1;3;220;46;36;9;76;4;3;10;8;1;4;23
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1051;1051 Höing;15.09.2025 09:03:13 809;795;369;0;1164;432;0;2;430;102;85;47;70;9;9;14;8;4;2;80
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1052;1052 Fleyer Str.;15.09.2025 09:03:13 809;755;418;0;1173;442;0;2;440;114;75;29;55;10;13;5;1;1;0;137
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;1053;1053 Tondernsiedlung;15.09.2025 09:03:13 809;559;273;0;832;294;0;2;292;65;64;10;66;8;11;12;6;1;1;48
