version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;1;CDU;;#32302e;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;2;SPD;;#ff0000;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;3;GRÜNE;;#46962b;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;4;FDP;;#ffed00;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;5;AfD;;#009ee0;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;6;DIE LINKE;;#9900cc;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;7;Tierschutzpartei;;#d2d2d2;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;8;Die PARTEI;;#b91023;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;9;FREIE WÄHLER;;#646464;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;10;PIRATEN;;#ff8800;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;11;ÖDP;;#ffa338;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;12;NPD;;#a14315;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;13;DiB;;#85557d;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;14;MLPD;;#ff0000;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;15;DKP;;#ff0000;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;16;dieBasis;;#00cdd8;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;17;Bündnis C;;#646464;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;18;BÜRGERBEWEGUNG;;#eaeaea;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;19;BÜNDNIS21;;#e71f71;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;20;LKR;;#e46c0c;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;21;Die Humanisten;;#d90368;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;22;Gesundheitsforschung;;#125b8c;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;23;Team Todenhöfer;;#d93f47;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;24;Volt;;#502379;P
0.3;08212000;26.09.2021;Bundestagswahl;271;271 Karlsruhe-Stadt;35;KlimalisteBW;;#e1ede0;P
