version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D35
0.3;08212000;26.09.2021;Bundestagswahl;00121;001-21 Hans-Thoma-Schule;26.09.2021 10:03:12 023;963;1069;0;2032;504;6;3;501;4;500;59;55;95;97;162;140;57;59;26;26;56;66;0;1;14;12;5;7;0;3;2;1;0;0;0;1;0;0;0;0;8;9;3;3;0;0;0;0;0;0;4;2;0;2;0;8;9;8;1
0.3;08212000;26.09.2021;Bundestagswahl;00122;001-22 Hans-Thoma-Schule;26.09.2021 10:03:12 023;894;843;0;1737;424;4;3;421;5;419;77;53;67;71;136;117;41;66;32;31;31;38;0;4;9;7;3;4;0;3;1;1;0;1;0;0;0;0;0;0;12;8;1;0;0;0;0;0;0;1;5;3;0;0;0;6;2;5;4
0.3;08212000;26.09.2021;Bundestagswahl;00221;002-21 Ständehaus;26.09.2021 10:03:12 023;733;828;0;1561;440;3;4;436;0;440;75;60;79;67;122;115;54;68;26;30;31;46;0;8;10;10;8;3;0;1;2;1;0;0;0;1;0;0;0;0;16;14;0;0;0;0;0;0;0;0;4;3;0;0;0;6;8;7;1
0.3;08212000;26.09.2021;Bundestagswahl;00222;002-22 Leopoldschule;26.09.2021 10:03:12 023;691;869;0;1560;433;10;7;426;8;425;56;52;81;76;133;135;41;54;18;17;47;41;0;4;7;8;7;6;0;1;2;0;0;0;0;0;0;0;0;0;21;21;2;2;0;1;0;0;0;0;4;1;0;0;0;3;7;3;0
0.3;08212000;26.09.2021;Bundestagswahl;00223;002-23 Leopoldschule;26.09.2021 10:03:12 023;637;817;0;1454;369;7;3;366;3;366;55;33;60;65;133;118;37;61;14;14;33;31;0;4;9;6;4;5;0;0;3;3;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;5;5;0;1;0;9;7;5;0
0.3;08212000;26.09.2021;Bundestagswahl;00224;002-24 Bismarck-Gymnasium;26.09.2021 10:03:12 023;829;1072;0;1901;534;16;5;529;2;532;60;51;98;87;217;192;63;93;21;25;27;43;0;2;14;4;6;4;0;4;1;3;0;0;0;0;1;0;0;1;11;9;2;2;0;0;0;0;0;1;3;2;0;0;0;2;2;7;3
0.3;08212000;26.09.2021;Bundestagswahl;00321;003-21 Friedrich-List-Schule;26.09.2021 10:03:12 023;477;944;0;1421;343;11;2;341;2;341;68;43;60;67;96;94;48;75;19;23;16;15;0;3;7;1;9;3;0;1;0;0;0;0;0;0;0;0;0;0;10;9;1;1;0;0;0;0;0;0;2;0;0;0;0;0;4;6;1
0.3;08212000;26.09.2021;Bundestagswahl;00322;003-22 Nebeniusschule;26.09.2021 10:03:12 023;1054;949;0;2003;675;13;7;668;6;669;78;68;117;135;227;196;62;70;37;39;80;77;0;5;12;13;12;9;0;5;3;2;0;0;0;2;0;0;0;1;27;20;2;4;0;0;0;0;0;1;3;2;0;0;0;13;7;7;1
0.3;08212000;26.09.2021;Bundestagswahl;00323;003-23 Nebeniusschule;26.09.2021 10:03:12 023;1188;961;0;2149;610;8;6;604;5;605;80;67;124;117;174;158;54;73;55;56;76;77;0;10;14;11;3;2;0;3;3;1;0;1;0;0;17;0;0;0;1;17;0;1;0;0;0;0;0;0;0;0;0;1;0;8;3;2;0
0.3;08212000;26.09.2021;Bundestagswahl;00324;003-24 Uhlandschule;26.09.2021 10:03:12 023;904;1211;0;2115;498;9;4;494;2;496;64;65;111;82;138;136;63;79;42;41;33;46;0;7;8;3;3;7;0;0;1;0;0;1;0;1;0;0;0;0;16;15;4;1;0;0;0;0;0;0;3;1;0;0;0;7;7;4;1
