version ;wahl-behoerde-gs ;wahl-datum ;wahl-name      ;wahl-leiter-gs ;wahl-leiter-name ;gebiet-ebene-5-nr ;gebiet-ebene-5-name ;gebiet-ebene-4-nr ;gebiet-ebene-4-name ;gebiet-ebene-3-nr ;gebiet-ebene-3-name ;gebiet-ebene-2-nr      ;gebiet-ebene-2-name    ;bezirk-nr ;bezirk-name                                    ;bezirk-art ;bezirk-repräsentativ ;kandidat-gebiet-nr ;kandidat-gebiet-bezeichnung ;stimmzettel-gebiet-nr ;stimmzettel-gebiet-bezeichnung
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Innenstadt-Ost         ;Innenstadt-Ost         ;00121     ;001-21 Hans-Thoma-Schule                       ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Innenstadt-Ost         ;Innenstadt-Ost         ;00122     ;001-22 Hans-Thoma-Schule                       ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Innenstadt-West        ;Innenstadt-West        ;00221     ;002-21 Ständehaus                              ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Innenstadt-West        ;Innenstadt-West        ;00222     ;002-22 Leopoldschule                           ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Innenstadt-West        ;Innenstadt-West        ;00223     ;002-23 Leopoldschule                           ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Innenstadt-West        ;Innenstadt-West        ;00224     ;002-24 Bismarck-Gymnasium                      ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südstadt               ;Südstadt               ;00321     ;003-21 Friedrich-List-Schule                   ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südstadt               ;Südstadt               ;00322     ;003-22 Nebeniusschule                          ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südstadt               ;Südstadt               ;00323     ;003-23 Nebeniusschule                          ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südstadt               ;Südstadt               ;00324     ;003-24 Uhlandschule                            ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südstadt               ;Südstadt               ;00325     ;003-25 Uhlandschule                            ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südstadt               ;Südstadt               ;00326     ;003-26 Friedrich-List-Schule                   ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südstadt               ;Südstadt               ;00327     ;003-27 Uhlandschule                            ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00421     ;004-21 Goethe-Gymnasium                        ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
0.3     ;08212000         ;26.09.2021 ;Bundestagswahl ;08212000       ;Stadt Karlsruhe  ;                  ;                    ;                  ;                    ;271               ;Karlsruhe-Stadt     ;Südweststadt           ;Südweststadt           ;00422     ;004-22 Goethe-Gymnasium                        ;W          ;                     ;271                ;271 Karlsruhe-Stadt         ;271                   ;271 Karlsruhe-Stadt
