version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;1;CDU;;#32302e;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;2;SPD;;#ff0000;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;3;GRÜNE;;#46962b;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;4;FDP;;#ffed00;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;5;AfD;;#009ee0;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;6;Die Linke;;#9900cc;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;7;dieBasis;;#00cdd8;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;8;FREIE WÄHLER;;#f29204;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;9;Tierschutzpartei;;#d2d2d2;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;10;Die PARTEI;;#b91023;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;11;Volt;;#502379;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;12;ÖDP;;#ffa338;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;13;Bündnis C;;#646464;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;14;MLPD;;#ff0000;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;15;BÜNDNIS DEUTSCHLAND;;#e72d71;P
0.3;08212000;23.02.2025;Bundestagswahl 2025;;;16;BSW;;#a31e4a;P
