version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;08212000;09.06.2024;Europawahl 2024;;;1;CDU;;#32302e;P
0.3;08212000;09.06.2024;Europawahl 2024;;;2;GRÜNE;;#46962b;P
0.3;08212000;09.06.2024;Europawahl 2024;;;3;SPD;;#ff0000;P
0.3;08212000;09.06.2024;Europawahl 2024;;;4;AfD;;#009ee0;P
0.3;08212000;09.06.2024;Europawahl 2024;;;5;FDP;;#ffed00;P
0.3;08212000;09.06.2024;Europawahl 2024;;;6;FREIE WÄHLER;;#f29204;P
0.3;08212000;09.06.2024;Europawahl 2024;;;7;DIE LINKE;;#9900cc;P
0.3;08212000;09.06.2024;Europawahl 2024;;;8;Die PARTEI;;#b91023;P
0.3;08212000;09.06.2024;Europawahl 2024;;;9;Tierschutzpartei;;#d2d2d2;P
0.3;08212000;09.06.2024;Europawahl 2024;;;10;ÖDP;;#ff6604;P
0.3;08212000;09.06.2024;Europawahl 2024;;;11;Volt;;#502379;P
0.3;08212000;09.06.2024;Europawahl 2024;;;12;PIRATEN;;#ff8800;P
0.3;08212000;09.06.2024;Europawahl 2024;;;13;FAMILIE;;#00ccff;P
0.3;08212000;09.06.2024;Europawahl 2024;;;14;MERA25;;#ec4422;P
0.3;08212000;09.06.2024;Europawahl 2024;;;15;Bündnis C;;#646464;P
0.3;08212000;09.06.2024;Europawahl 2024;;;16;TIERSCHUTZ hier!;;#45ad4c;P
0.3;08212000;09.06.2024;Europawahl 2024;;;17;BIG;;#646464;P
0.3;08212000;09.06.2024;Europawahl 2024;;;18;HEIMAT;;#d79e2a;P
0.3;08212000;09.06.2024;Europawahl 2024;;;19;PdH;;#ee225a;P
0.3;08212000;09.06.2024;Europawahl 2024;;;20;Partei für schulmedizinische Verjüngungsforschung;;#83db89;P
0.3;08212000;09.06.2024;Europawahl 2024;;;21;MENSCHLICHE WELT;;#ee6600;P
0.3;08212000;09.06.2024;Europawahl 2024;;;22;MLPD;;#ff0000;P
0.3;08212000;09.06.2024;Europawahl 2024;;;23;DKP;;#ff0000;P
0.3;08212000;09.06.2024;Europawahl 2024;;;24;SGP;;#b70000;P
0.3;08212000;09.06.2024;Europawahl 2024;;;25;ABG;;#7e4081;P
0.3;08212000;09.06.2024;Europawahl 2024;;;26;dieBasis;;#00cdd8;P
0.3;08212000;09.06.2024;Europawahl 2024;;;27;BÜNDNIS DEUTSCHLAND;;#e72d71;P
0.3;08212000;09.06.2024;Europawahl 2024;;;28;BSW;;#a31e4a;P
0.3;08212000;09.06.2024;Europawahl 2024;;;29;DAVA;;#0094a2;P
0.3;08212000;09.06.2024;Europawahl 2024;;;30;KLIMALISTE;;#bedc0a;P
0.3;08212000;09.06.2024;Europawahl 2024;;;31;LETZTE GENERATION;;#fe4b01;P
0.3;08212000;09.06.2024;Europawahl 2024;;;32;PDV;;#354edd;P
0.3;08212000;09.06.2024;Europawahl 2024;;;33;PdF;;#ffb27f;P
0.3;08212000;09.06.2024;Europawahl 2024;;;34;V-Partei³;;#a5be00;P
