version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-Ost;Innenstadt-Ost;00121;Stadt Karlsruhe - 001-21 Hans-Thoma-Schule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-Ost;Innenstadt-Ost;00122;Stadt Karlsruhe - 001-22 Hans-Thoma-Schule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00221;Stadt Karlsruhe - 002-21 Ständehaus;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00222;Stadt Karlsruhe - 002-22 Leopoldschule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00223;Stadt Karlsruhe - 002-23 Leopoldschule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Innenstadt-West;Innenstadt-West;00224;Stadt Karlsruhe - 002-24 Bismarck-Gymnasium;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00321;Stadt Karlsruhe - 003-21 Friedrich-List-Schule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00322;Stadt Karlsruhe - 003-22 Nebeniusschule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00323;Stadt Karlsruhe - 003-23 Nebeniusschule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00324;Stadt Karlsruhe - 003-24 Uhlandschule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00325;Stadt Karlsruhe - 003-25 Uhlandschule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00326;Stadt Karlsruhe - 003-26 Friedrich-List-Schule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südstadt;Südstadt;00327;Stadt Karlsruhe - 003-27 Uhlandschule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00421;Stadt Karlsruhe - 004-21 Goethe-Gymnasium;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00422;Stadt Karlsruhe - 004-22 Goethe-Gymnasium;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00423;Stadt Karlsruhe - 004-23 Kimmelmannschule;W;;;;;
0.3;08212000;09.06.2024;Europawahl 2024;08212000;Stadt Karlsruhe;;;;;;;Südweststadt;Südweststadt;00424;Stadt Karlsruhe - 004-24 Weinbrennerschule;W;;;;;
