version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;1;GRÜNE;;#46962b;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;2;CDU;;#32302e;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;3;SPD;;#ff0000;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;4;FDP;;#ffed00;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;5;AfD;;#009ee0;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;6;DIE LINKE;;#9900cc;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;7;KAL;;#5d19e5;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;8;Die PARTEI;;#b91023;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;9;FW KA e.V.;;#03888f;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;10;FÜR Karlsruhe;;#b2c82e;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;11;Team Todenhöfer;;#d93f11;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;12;Demokratie und Aufklärung Karlsruhe;;#85817f;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;13;KAG;;#cf14e0;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;14;Volt;;#502379;P
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;;;15;ÖDP;;#f36717;P
