version;wahl-behoerde-gs;wahl-datum;wahl-name;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung;stimmzettel-position;partei-kurzname;partei-langname;partei-rgb-wert;partei-typ
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;1;GRÜNE;;#33cc00;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;2;CDU;;#4b4b4b;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;3;AfD;;#6eb4a5;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;4;SPD;;#d60029;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;5;FDP;;#fbee31;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;6;DIE LINKE;;#d01d5c;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;7;ÖDP;;#ffa338;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;8;Die PARTEI;;#7d7d7d;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;9;FREIE WÄHLER;;#646464;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;10;Bündnis C;;#646464;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;11;dieBasis;;#00cdd8;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;12;KlimalisteBW;;#e1ede0;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;13;Die Humanisten;;#d90368;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;14;W2020;;#fbb833;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;27;Wahlkreis 27 - Karlsruhe I;15;Volt;;#502379;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;1;GRÜNE;;#33cc00;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;2;CDU;;#4b4b4b;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;3;AfD;;#6eb4a5;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;4;SPD;;#d60029;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;5;FDP;;#fbee31;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;6;DIE LINKE;;#d01d5c;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;7;ÖDP;;#ffa338;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;8;Die PARTEI;;#7d7d7d;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;9;FREIE WÄHLER;;#646464;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;10;dieBasis;;#00cdd8;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;11;KlimalisteBW;;#e1ede0;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;12;Die Humanisten;;#d90368;P
0.3;08212000;14.03.2021;Landtagswahl BW 2021;28;Wahlkreis 28 - Karlsruhe II;13;Volt;;#502379;P
