version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8
0.2;05366004;13.09.2020;Kreistagswahl NRW;01.1;01.1 Arloff;13.09.2020 20:00:00;712;271;0;983;367;0;8;359;154;100;38;28;6;21;12;
0.2;05366004;13.09.2020;Kreistagswahl NRW;01.2;01.2 Briefwahlbezirk Arloff;13.09.2020 19:54:58;0;0;0;0;254;254;2;252;110;68;37;11;6;13;7;
0.2;05366004;13.09.2020;Kreistagswahl NRW;02.1;02.1 Kirspenich;13.09.2020 20:00:00;783;339;0;1122;293;0;2;291;98;78;50;20;12;26;7;
0.2;05366004;13.09.2020;Kreistagswahl NRW;02.2;02.2 Briefwahlbezirk Kirspenich;13.09.2020 19:55:13;0;0;0;0;304;304;2;302;104;67;71;40;10;5;5;
0.2;05366004;13.09.2020;Kreistagswahl NRW;03.1;03.1 Iversheim I, Kalkar;13.09.2020 19:16:39;650;355;0;1005;266;0;3;263;87;75;40;24;11;14;12;
0.2;05366004;13.09.2020;Kreistagswahl NRW;03.2;03.2 Briefwahlbezirk Iversheim I, Kalkar;13.09.2020 21:15:11;0;0;0;0;328;328;5;323;117;78;45;40;11;22;10;
0.2;05366004;13.09.2020;Kreistagswahl NRW;04.1;04.1 Iversheim II, Eschweiler;13.09.2020 19:03:26;621;318;0;939;226;0;5;221;60;45;47;34;6;12;17;
0.2;05366004;13.09.2020;Kreistagswahl NRW;04.2;04.2 Briefwahlbezirk Iversheim II, Eschweiler;13.09.2020 21:15:52;0;0;0;0;280;280;2;278;93;71;50;30;16;11;7;
0.2;05366004;13.09.2020;Kreistagswahl NRW;05.1;05.1 Nöthen, Hohn;13.09.2020 20:00:00;594;415;0;1009;312;0;9;303;109;44;43;15;75;12;5;
0.2;05366004;13.09.2020;Kreistagswahl NRW;05.2;05.2 Briefwahlbezirk Nöthen, Hohn;13.09.2020 20:07:14;0;0;0;0;395;395;12;383;129;63;63;17;81;24;6;
0.2;05366004;13.09.2020;Kreistagswahl NRW;06.1;06.1 Rodert, Bad Münstereifel I;13.09.2020 20:00:00;563;310;0;873;179;0;2;177;40;44;36;23;14;10;10;
0.2;05366004;13.09.2020;Kreistagswahl NRW;06.2;06.2 Briefwahlbezirk Rodert, Bad Münstereifel I;13.09.2020 20:52:15;0;0;0;0;273;273;1;272;63;91;33;44;17;10;14;
0.2;05366004;13.09.2020;Kreistagswahl NRW;07.1;07.1 Bad Münstereifel II;13.09.2020 18:55:01;553;283;0;836;211;0;8;203;44;73;39;26;13;3;5;
0.2;05366004;13.09.2020;Kreistagswahl NRW;07.2;07.2 Briefwahlbezirk Bad Münstereifel II;13.09.2020 21:04:51;0;0;0;0;262;262;3;259;75;88;29;37;12;9;9;
0.2;05366004;13.09.2020;Kreistagswahl NRW;08.1;08.1 Bad Münstereifel III;13.09.2020 19:03:41;580;361;0;941;197;0;6;191;46;54;38;27;8;9;9;
0.2;05366004;13.09.2020;Kreistagswahl NRW;08.2;08.2 Briefwahlbezirk Bad Münstereifel III;13.09.2020 21:25:37;0;0;0;0;325;325;9;316;84;101;40;60;20;6;5;
0.2;05366004;13.09.2020;Kreistagswahl NRW;09.1;09.1 Bad Münstereifel IV;13.09.2020 18:42:20;642;315;0;957;206;0;3;203;51;71;37;14;7;12;11;
0.2;05366004;13.09.2020;Kreistagswahl NRW;09.2;09.2 Briefwahlbezirk Bad Münstereifel IV;13.09.2020 20:20:56;0;0;0;0;285;285;1;284;71;72;44;47;21;16;13;
0.2;05366004;13.09.2020;Kreistagswahl NRW;10.1;10.1 Eicherscheid;13.09.2020 20:00:00;557;323;0;880;258;0;9;249;103;41;43;15;26;15;6;
0.2;05366004;13.09.2020;Kreistagswahl NRW;10.2;10.2 Briefwahlbezirk Eicherscheid;13.09.2020 21:08:02;0;0;0;0;300;300;15;285;123;46;45;21;31;11;8;
0.2;05366004;13.09.2020;Kreistagswahl NRW;11.1;11.1 Schönau;13.09.2020 19:33:11;573;305;0;878;255;0;9;246;99;34;47;15;33;15;3;
0.2;05366004;13.09.2020;Kreistagswahl NRW;11.2;11.2 Briefwahlbezirk Schönau;13.09.2020 19:42:40;0;0;0;0;283;283;5;278;126;49;39;9;42;10;3;
0.2;05366004;13.09.2020;Kreistagswahl NRW;12.1;12.1 Mahlberg;13.09.2020 19:14:44;525;313;0;838;279;0;3;276;138;25;47;17;20;18;11;
0.2;05366004;13.09.2020;Kreistagswahl NRW;12.2;12.2 Briefwahlbezirk Mahlberg;13.09.2020 21:19:51;0;0;0;0;279;279;10;269;138;38;39;21;10;16;7;
0.2;05366004;13.09.2020;Kreistagswahl NRW;13.1;13.1 Mutscheid,  Esch;13.09.2020 19:15:33;613;375;0;988;303;0;10;293;111;38;48;40;17;24;15;
0.2;05366004;13.09.2020;Kreistagswahl NRW;13.2;13.2 Briefwahlbezirk Mutscheid, Esch;13.09.2020 21:17:12;0;0;0;0;339;339;7;332;140;54;49;33;34;12;10;
0.2;05366004;13.09.2020;Kreistagswahl NRW;14.1;14.1 Rupperath, Hardtbrücke;13.09.2020 19:14:44;629;243;0;872;344;0;4;340;211;22;42;19;11;27;8;
0.2;05366004;13.09.2020;Kreistagswahl NRW;14.2;14.2 Briefwahlbezirk Rupperath, Hardtbrücke;13.09.2020 19:56:40;0;0;0;0;216;216;3;213;92;25;25;37;15;9;10;
0.2;05366004;13.09.2020;Kreistagswahl NRW;15.1;15.1 Effelsberg, Wald;13.09.2020 18:56:01;735;343;0;1078;286;0;5;281;114;78;35;12;11;23;8;
0.2;05366004;13.09.2020;Kreistagswahl NRW;15.2;15.2 Briefwahlbezirk Effelsberg, Wald;13.09.2020 21:04:02;0;0;0;0;289;289;8;281;125;65;50;14;10;11;6;
0.2;05366004;13.09.2020;Kreistagswahl NRW;16.1;16.1 Houverath;13.09.2020 18:43:36;765;314;0;1079;337;0;7;330;159;46;64;18;19;17;7;
0.2;05366004;13.09.2020;Kreistagswahl NRW;16.2;16.2 Briefwahlbezirk Houverath;13.09.2020 20:45:09;0;0;0;0;288;288;3;285;117;62;53;14;23;14;2;
0.2;05366008;13.09.2020;Kreistagswahl NRW;001-1;Blankenheim I;13.09.2020 19:53:41;395;172;0;567;308;159;8;300;78;170;21;7;5;15;4;
0.2;05366008;13.09.2020;Kreistagswahl NRW;002-1;Blankenheim II;13.09.2020 19:53:41;327;152;0;479;253;141;3;250;62;123;13;16;9;21;6;
0.2;05366008;13.09.2020;Kreistagswahl NRW;003-1;Blankenheim III;13.09.2020 19:53:41;318;90;0;408;194;89;1;193;37;101;16;8;5;18;8;
0.2;05366008;13.09.2020;Kreistagswahl NRW;003-2;Blankenheimerdorf I;13.09.2020 19:53:41;125;75;0;200;132;71;2;130;36;64;7;3;11;6;3;
0.2;05366008;13.09.2020;Kreistagswahl NRW;004-1;Blankenheimerdorf II;13.09.2020 19:53:41;436;185;0;621;419;178;6;413;112;227;30;15;7;13;9;
0.2;05366008;13.09.2020;Kreistagswahl NRW;005-1;Rohr;13.09.2020 19:53:41;264;87;0;351;232;86;4;228;53;120;16;20;7;11;1;
0.2;05366008;13.09.2020;Kreistagswahl NRW;005-2;Lindweiler;13.09.2020 19:53:41;73;13;0;86;61;12;1;60;6;42;3;3;0;6;0;
0.2;05366008;13.09.2020;Kreistagswahl NRW;005-3;Reetz I;13.09.2020 19:53:41;94;31;0;125;86;29;2;84;27;43;2;10;1;0;1;
0.2;05366008;13.09.2020;Kreistagswahl NRW;006-1;Mülheim;13.09.2020 19:53:41;309;89;0;398;250;85;0;250;94;119;15;13;4;2;3;
0.2;05366008;13.09.2020;Kreistagswahl NRW;006-2;Reetz II;13.09.2020 19:53:41;160;55;0;215;178;52;5;173;43;92;10;18;6;4;0;
0.2;05366008;13.09.2020;Kreistagswahl NRW;007-1;Freilingen;13.09.2020 19:53:41;401;175;0;576;399;165;5;394;128;217;20;8;5;9;7;
0.2;05366008;13.09.2020;Kreistagswahl NRW;008-1;Lommersdorf;13.09.2020 19:53:41;327;161;0;488;375;156;1;374;207;122;14;4;5;14;8;
0.2;05366008;13.09.2020;Kreistagswahl NRW;009-1;Ahrdorf;13.09.2020 18:33:02;121;20;0;141;95;20;1;94;44;38;6;0;0;6;0;
0.2;05366008;13.09.2020;Kreistagswahl NRW;009-2;Ahrhütte;13.09.2020 19:53:41;136;33;0;169;110;31;1;109;28;45;7;6;4;12;7;
0.2;05366008;13.09.2020;Kreistagswahl NRW;009-3;Uedelhoven;13.09.2020 19:53:41;146;71;0;217;155;67;0;155;43;91;9;3;2;4;3;
0.2;05366008;13.09.2020;Kreistagswahl NRW;010-1;Dollendorf;13.09.2020 20:29:26;406;212;0;618;414;193;1;413;130;232;15;13;10;5;8;
0.2;05366008;13.09.2020;Kreistagswahl NRW;011-1;Hüngersdorf;13.09.2020 19:53:41;338;94;0;432;234;78;2;232;71;117;19;10;6;4;5;
0.2;05366008;13.09.2020;Kreistagswahl NRW;012-1;Ripsdorf;13.09.2020 19:53:41;259;197;0;456;364;190;4;360;90;154;9;93;2;8;4;
0.2;05366008;13.09.2020;Kreistagswahl NRW;013-1;Alendorf;13.09.2020 19:53:41;141;69;0;210;171;68;1;170;72;74;7;15;0;2;0;
0.2;05366008;13.09.2020;Kreistagswahl NRW;013-2;Waldorf;13.09.2020 19:53:41;119;44;0;163;128;40;6;122;46;54;7;5;3;4;3;
0.2;05366008;13.09.2020;Kreistagswahl NRW;013-3;Nonnenbach;13.09.2020 19:53:41;33;42;0;75;54;36;0;54;9;32;5;3;1;3;1;
0.2;05366012;13.09.2020;Kreistagswahl NRW;01.0;01.0 Baasem;13.09.2020 19:12:51;236;113;0;349;272;109;11;261;106;51;42;31;15;13;3;
0.2;05366012;13.09.2020;Kreistagswahl NRW;02.1;02.1 Berk;13.09.2020 19:57:07;214;74;0;288;222;68;5;217;66;48;17;72;6;5;3;
0.2;05366012;13.09.2020;Kreistagswahl NRW;02.2;02.2 Frauenkron 1;13.09.2020 18:38:34;62;9;0;71;50;9;2;48;28;12;1;6;0;1;0;
0.2;05366012;13.09.2020;Kreistagswahl NRW;03.0;03.0 Dahlem 1;13.09.2020 19:18:43;227;98;0;325;207;88;2;205;104;30;26;26;4;8;7;
0.2;05366012;13.09.2020;Kreistagswahl NRW;04.0;04.0 Dahlem 2;13.09.2020 19:17:30;220;133;0;353;233;115;6;227;119;36;30;30;2;5;5;
0.2;05366012;13.09.2020;Kreistagswahl NRW;05.0;05.0 Dahlem 3;13.09.2020 19:21:53;251;82;0;333;228;74;3;225;107;40;33;21;4;16;4;
0.2;05366012;13.09.2020;Kreistagswahl NRW;06.0;06.0 Dahlem 4;13.09.2020 19:14:53;273;81;0;354;225;75;9;216;117;32;35;14;5;9;4;
0.2;05366012;13.09.2020;Kreistagswahl NRW;07.1;07.1 Kronenburg;13.09.2020 19:34:48;181;99;0;280;230;96;9;221;76;56;62;12;5;6;4;
0.2;05366012;13.09.2020;Kreistagswahl NRW;07.2;07.2 Frauenkron 2;13.09.2020 18:34:30;61;18;0;79;53;16;0;53;29;11;5;3;0;3;2;
0.2;05366012;13.09.2020;Kreistagswahl NRW;08.0;08.0 Schmidtheim 1;13.09.2020 19:19:27;263;123;0;386;248;117;4;244;143;28;23;29;3;17;1;
0.2;05366012;13.09.2020;Kreistagswahl NRW;09.0;09.0 Schmidtheim 2;13.09.2020 19:08:49;258;136;0;394;279;131;8;271;162;34;27;31;3;9;5;
0.2;05366012;13.09.2020;Kreistagswahl NRW;10.0;10.0 Schmidtheim 3;13.09.2020 19:22:52;247;131;0;378;260;124;3;257;147;34;21;33;2;12;8;
