version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2
0.2;05366004;27.09.2020;Landratsstichwahl NRW;01.1;01.1 Arloff;27.09.2020 18:18:55;721;262;0;983;199;0;0;199;60;139
0.2;05366004;27.09.2020;Landratsstichwahl NRW;01.2;01.2 Briefwahlbezirk Arloff;27.09.2020 18:18:22;0;0;0;0;216;216;1;215;105;110
0.2;05366004;27.09.2020;Landratsstichwahl NRW;02.1;02.1 Kirspenich;27.09.2020 18:14:13;790;329;0;1119;176;0;0;176;56;120
0.2;05366004;27.09.2020;Landratsstichwahl NRW;02.2;02.2 Briefwahlbezirk Kirspenich;27.09.2020 18:35:22;0;0;0;0;260;260;4;256;92;164
0.2;05366004;27.09.2020;Landratsstichwahl NRW;03.1;03.1 Iversheim I, Kalkar;27.09.2020 18:22:43;659;346;0;1005;158;0;2;156;45;111
0.2;05366004;27.09.2020;Landratsstichwahl NRW;03.2;03.2 Briefwahlbezirk Iversheim I, Kalkar;27.09.2020 18:32:41;0;0;0;0;308;308;1;307;127;180
0.2;05366004;27.09.2020;Landratsstichwahl NRW;04.1;04.1 Iversheim II, Eschweiler;27.09.2020 18:15:38;641;298;0;939;129;0;0;129;36;93
0.2;05366004;27.09.2020;Landratsstichwahl NRW;04.2;04.2 Briefwahlbezirk Iversheim II, Eschweiler;27.09.2020 18:49:56;0;0;0;0;248;248;1;247;103;144
0.2;05366004;27.09.2020;Landratsstichwahl NRW;05.1;05.1 Nöthen, Hohn;27.09.2020 18:27:22;612;397;0;1009;249;0;0;249;65;184
0.2;05366004;27.09.2020;Landratsstichwahl NRW;05.2;05.2 Briefwahlbezirk Nöthen, Hohn;27.09.2020 18:21:58;0;0;0;0;352;352;6;346;111;235
0.2;05366004;27.09.2020;Landratsstichwahl NRW;06.1;06.1 Rodert, Bad Münstereifel I;27.09.2020 18:11:38;564;308;0;872;98;0;0;98;29;69
0.2;05366004;27.09.2020;Landratsstichwahl NRW;06.2;06.2 Briefwahlbezirk Rodert, Bad Münstereifel I;27.09.2020 18:16:13;0;0;0;0;245;245;1;244;86;158
0.2;05366004;27.09.2020;Landratsstichwahl NRW;07.1;07.1 Bad Münstereifel II;27.09.2020 18:20:55;556;280;0;836;127;0;0;127;34;93
0.2;05366004;27.09.2020;Landratsstichwahl NRW;07.2;07.2 Briefwahlbezirk Bad Münstereifel II;27.09.2020 18:31:04;0;0;0;0;227;227;2;225;85;140
0.2;05366004;27.09.2020;Landratsstichwahl NRW;08.1;08.1 Bad Münstereifel III;27.09.2020 18:19:57;590;349;0;939;113;0;0;113;43;70
0.2;05366004;27.09.2020;Landratsstichwahl NRW;08.2;08.2 Briefwahlbezirk Bad Münstereifel III;27.09.2020 18:56:59;0;0;0;0;286;286;1;285;142;143
0.2;05366004;27.09.2020;Landratsstichwahl NRW;09.1;09.1 Bad Münstereifel IV;27.09.2020 18:12:24;645;312;0;957;128;0;1;127;41;86
0.2;05366004;27.09.2020;Landratsstichwahl NRW;09.2;09.2 Briefwahlbezirk Bad Münstereifel IV;27.09.2020 18:36:59;0;0;0;0;245;245;0;245;86;159
0.2;05366004;27.09.2020;Landratsstichwahl NRW;10.1;10.1 Eicherscheid;27.09.2020 18:23:07;563;317;0;880;151;0;1;150;51;99
0.2;05366004;27.09.2020;Landratsstichwahl NRW;10.2;10.2 Briefwahlbezirk Eicherscheid;27.09.2020 18:21:26;0;0;0;0;254;254;0;254;137;117
0.2;05366004;27.09.2020;Landratsstichwahl NRW;11.1;11.1 Schönau;27.09.2020 18:26:54;585;290;0;875;164;0;0;164;42;122
0.2;05366004;27.09.2020;Landratsstichwahl NRW;11.2;11.2 Briefwahlbezirk Schönau;27.09.2020 18:29:59;0;0;0;0;238;238;1;237;88;149
0.2;05366004;27.09.2020;Landratsstichwahl NRW;12.1;12.1 Mahlberg;27.09.2020 18:19:25;530;306;0;836;187;0;0;187;95;92
0.2;05366004;27.09.2020;Landratsstichwahl NRW;12.2;12.2 Briefwahlbezirk Mahlberg;27.09.2020 18:44:58;0;0;0;0;261;261;0;261;124;137
