version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.2;06414000;01.11.2020;Citybahn;0111;0111 Bellevue-Saal;;1133;174;0;1307;271;0;0;271;147;124
0.2;06414000;01.11.2020;Citybahn;0112;0112 Rathaus;;1228;200;0;1428;334;1;0;334;195;139
0.2;06414000;01.11.2020;Citybahn;0121;0121 Oranienschule;;1536;319;0;1855;518;2;3;515;312;203
0.2;06414000;01.11.2020;Citybahn;0122;0122 Oranienschule;;1339;408;0;1747;466;4;1;465;263;202
0.2;06414000;01.11.2020;Citybahn;0131;0131 Werner-von-Siemens-Schule;;1122;194;0;1316;449;3;3;446;238;208
0.2;06414000;01.11.2020;Citybahn;0132;0132 Friedrich-Ludwig-Jahn-Schule;;1171;233;0;1404;504;1;0;504;280;224
0.2;06414000;01.11.2020;Citybahn;0133;0133 Oranienschule;;1102;254;0;1356;418;1;1;417;245;172
0.2;06414000;01.11.2020;Citybahn;0141;0141 Werner-von-Siemens-Schule;;685;90;0;775;252;0;0;252;141;111
0.2;06414000;01.11.2020;Citybahn;0151;0151 Anton-Gruner-Schule;;1219;267;0;1486;426;10;1;425;216;209
0.2;06414000;01.11.2020;Citybahn;0152;0152 Treffpunkt aktiv Adlerstraße;;1371;137;0;1508;320;2;1;319;131;188
0.2;06414000;01.11.2020;Citybahn;0153;0153 Integrierte Gesamtschule;;1204;177;0;1381;344;2;0;344;179;165
0.2;06414000;01.11.2020;Citybahn;0211;0211 Robert-Schumann-Schule;;756;286;0;1042;231;0;1;230;72;158
0.2;06414000;01.11.2020;Citybahn;0212;0212 Robert-Schumann-Schule;;624;227;0;851;339;2;1;338;112;226
0.2;06414000;01.11.2020;Citybahn;0213;0213 Haus der Altenpflege;;1145;428;0;1573;505;1;1;504;170;334
0.2;06414000;01.11.2020;Citybahn;0214;0214 Robert-Schumann-Schule;;417;228;0;645;223;0;0;223;83;140
0.2;06414000;01.11.2020;Citybahn;0221;0221 Kapellen-Stift;;1265;383;0;1648;527;1;1;526;221;305
0.2;06414000;01.11.2020;Citybahn;0222;0222 Ev. Verein f. Innere Mission;;669;290;0;959;286;3;1;285;106;179
0.2;06414000;01.11.2020;Citybahn;0231;0231 Musischer Kindergarten;;727;321;0;1048;386;10;2;384;161;223
0.2;06414000;01.11.2020;Citybahn;0232;0232 Johannes-Maaß-Schule;;718;260;0;978;361;0;0;361;172;189
0.2;06414000;01.11.2020;Citybahn;0233;0233 Johannes-Maaß-Schule;;686;196;0;882;255;2;0;255;103;152
0.2;06414000;01.11.2020;Citybahn;0241;0241 Johann-Hinrich-Wichern-Stift;;839;303;0;1142;423;7;1;422;191;231
0.2;06414000;01.11.2020;Citybahn;0242;0242 Comeniusschule;;912;230;0;1142;382;0;0;382;147;235
0.2;06414000;01.11.2020;Citybahn;0243;0243 Riederbergschule;;989;340;0;1329;404;4;0;404;232;172
0.2;06414000;01.11.2020;Citybahn;0244;0244 Riederbergschule;;950;215;0;1165;420;3;2;418;220;198
0.2;06414000;01.11.2020;Citybahn;0251;0251 Albrecht-Dürer-Schule;;1012;235;0;1247;435;2;0;435;167;268
0.2;06414000;01.11.2020;Citybahn;0271;0271 Martin-Niemöller-Schule;;495;181;0;676;254;0;0;254;93;161
0.2;06414000;01.11.2020;Citybahn;0281;0281 Fritz-Gansberg-Schule;;1104;415;0;1519;327;0;2;325;115;210
0.2;06414000;01.11.2020;Citybahn;0311;0311 Kath. Gem. Hl. Familie;;1271;370;0;1641;501;3;3;498;195;303
0.2;06414000;01.11.2020;Citybahn;0321;0321 Fritz-Gansberg-Schule;;791;312;0;1103;371;4;1;370;132;238
0.2;06414000;01.11.2020;Citybahn;0322;0322 Helene-Lange-Schule;;554;203;0;757;247;1;2;245;107;138
0.2;06414000;01.11.2020;Citybahn;0331;0331 Helene-Lange-Schule;;590;244;0;834;234;4;0;234;69;165
0.2;06414000;01.11.2020;Citybahn;0421;0421 Schulze-Delitzsch-Schule;;1067;165;0;1232;310;0;1;309;158;151
0.2;06414000;01.11.2020;Citybahn;0451;0451 Friedrich-Ebert-Schule;;1115;272;0;1387;461;2;0;461;182;279
0.2;06414000;01.11.2020;Citybahn;0452;0452 Adalbert-Stifter-Schule;;919;319;0;1238;402;0;2;400;151;249
0.2;06414000;01.11.2020;Citybahn;0461;0461 Adalbert-Stifter-Schule;;1107;241;0;1348;466;0;1;465;201;264
0.2;06414000;01.11.2020;Citybahn;0511;0511 Hebbelschule;;1008;270;0;1278;534;0;4;530;353;177
0.2;06414000;01.11.2020;Citybahn;0512;0512 Hebbelschule;;717;296;0;1013;393;0;1;392;229;163
0.2;06414000;01.11.2020;Citybahn;0513;0513 Hebbelschule;;737;224;0;961;239;1;2;237;112;125
0.2;06414000;01.11.2020;Citybahn;0514;0514 Hebbelschule;;753;142;0;895;262;1;1;261;117;144
