version;wahl-behoerde-gs;wahl-datum;wahl-name;wahl-leiter-gs;wahl-leiter-name;gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0111;0111 Bellevue-Saal;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0112;0112 Rathaus;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0121;0121 Oranienschule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0122;0122 Oranienschule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0131;0131 Werner-von-Siemens-Schule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0132;0132 Friedrich-Ludwig-Jahn-Schule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0133;0133 Oranienschule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0141;0141 Werner-von-Siemens-Schule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0151;0151 Anton-Gruner-Schule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0152;0152 Treffpunkt aktiv Adlerstraße;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Mitte;Mitte;0153;0153 Integrierte Gesamtschule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Nordost;Nordost;0211;0211 Robert-Schumann-Schule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Nordost;Nordost;0212;0212 Robert-Schumann-Schule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Nordost;Nordost;0213;0213 Haus der Altenpflege;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Nordost;Nordost;0214;0214 Robert-Schumann-Schule;W;;;;;
0.2;06414000;01.11.2020;Citybahn;06414000;Landeshauptstadt Wiesbaden;;;;;;;Nordost;Nordost;0221;0221 Kapellen-Stift;W;;;;;
