gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
;;;;1;Hagen-Mitte;01;01 Mittelstadt;1011;1011 Volkspark;U;;01;01 Mittelstadt;;
;;;;1;Hagen-Mitte;01;01 Mittelstadt;1012;1012 Theater;U;;01;01 Mittelstadt;;
;;;;1;Hagen-Mitte;01;01 Mittelstadt;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;U;;01;01 Mittelstadt;;
;;;;1;Hagen-Mitte;01;01 Mittelstadt;1014;1014 Kratzkopf;U;;01;01 Mittelstadt;;
;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1021;1021 Volmeaue;U;;02;02 Altenhagen-Süd;;
;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1022;1022 Funckepark;U;;02;02 Altenhagen-Süd;;
;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1023;1023 Yorckstr.;U;;02;02 Altenhagen-Süd;;
;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1024;1024 Funckestr.;U;;02;02 Altenhagen-Süd;;
;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;1025;1025 Am Ischeland;U;;02;02 Altenhagen-Süd;;
;;;;1;Hagen-Mitte;03;03 Altenhagen-West;1031;1031 Adolf- / Sedanstr.;U;;03;03 Altenhagen-West;;
;;;;1;Hagen-Mitte;03;03 Altenhagen-West;1032;1032 Brink- / Altenhagener Str.;U;;03;03 Altenhagen-West;;
;;;;1;Hagen-Mitte;03;03 Altenhagen-West;1033;1033 St.-Josefs-Hospital;U;;03;03 Altenhagen-West;;
;;;;1;Hagen-Mitte;03;03 Altenhagen-West;1034;1034 Kinkelstraße;U;;03;03 Altenhagen-West;;
;;;;1;Hagen-Mitte;04;04 Altenhagen-Ost;1041;1041 Zur Heide;U;;04;04 Altenhagen-Ost;;
