datum;ags;Strassen-Name;Hausnummern-Bereich;PLZ;Ortsteil;Bezirk-Nr
13.09.2020;05914000;Abergweg;;;;4224
13.09.2020;05914000;Ackerstr.;;;;1065
13.09.2020;05914000;Adalbert-Stifter-Str.;;;;2142
13.09.2020;05914000;Adolfstr.;;;;1031
13.09.2020;05914000;Adrianstr.;;;;4203
13.09.2020;05914000;Aehringhausen;;;;2151
13.09.2020;05914000;Agnes-Miegel-Str.;;;;5266
13.09.2020;05914000;Ahmer Weg;;;;3181
13.09.2020;05914000;Ahornweg;;;;2154
13.09.2020;05914000;Ährenstr.;;;;5262
13.09.2020;05914000;Ahrstr.;2-12 ger.;;;1025
13.09.2020;05914000;Ahrstr.;1-13 ung.;;;1024
13.09.2020;05914000;Akazienweg;;;;2154
13.09.2020;05914000;Albrechtstr.;3-44,46;;;1101
13.09.2020;05914000;Albrechtstr.;45-49 ung.,50-74;;;1102
13.09.2020;05914000;Alemannenweg;;;;3192
13.09.2020;05914000;Alexanderstr.;87-94;;;1041
13.09.2020;05914000;Alexanderstr.;34-86;;;1043
13.09.2020;05914000;Alleestr.;1-15;;;1032
13.09.2020;05914000;Alleestr.;18-73;;;1042
13.09.2020;05914000;Allensteiner Str.;25-68;;;2116
13.09.2020;05914000;Allensteiner Str.;1-24;;;2125
13.09.2020;05914000;Alsenstr.;24;;;1022
13.09.2020;05914000;Alsenstr.;6-12 ger.,13-23;;;1024
13.09.2020;05914000;Alsenstr.;2-4,7,9;;;1034
13.09.2020;05914000;Alte Heerstr.;1-45 ung.;;;3166
13.09.2020;05914000;Alte Heerstr.;4-24 ger.;;;3193
13.09.2020;05914000;Alte Heerstr.;24-38 ger.;;;3194
13.09.2020;05914000;Alte Stadt;;;;3191
13.09.2020;05914000;Altenhagener Brücke;;;;1031
13.09.2020;05914000;Altenhagener Str.;;;;1033
13.09.2020;05914000;Alter Henkhauser Weg;41-58;;;3166
13.09.2020;05914000;Alter Henkhauser Weg;4-40;;;3193
13.09.2020;05914000;Alter Hohlweg;;;;3164
13.09.2020;05914000;Alter Mühlenweg;;;;2126
13.09.2020;05914000;Alter Reher Weg;6-19;;;3165
13.09.2020;05914000;Alter Reher Weg;24-40;;;3193
13.09.2020;05914000;Alter Schloßweg;;;;3184
13.09.2020;05914000;Alter Teichweg;;;;3164
13.09.2020;05914000;Alter Weg;;;;4223
13.09.2020;05914000;Am Ahlberg;;;;5255
13.09.2020;05914000;Am Alten Sportplatz;;;;4223
13.09.2020;05914000;Am Andreasberg;;;;5255
13.09.2020;05914000;Am Baukloh;;;;5261
13.09.2020;05914000;Am Baum;;;;2113
13.09.2020;05914000;Am Berge;1-69;;;3194
13.09.2020;05914000;Am Berge;112-118 ger.;;;3165
13.09.2020;05914000;Am Berge;71-111,113-131 ung.;;;3193
13.09.2020;05914000;Am Berghang;60;;;1075
13.09.2020;05914000;Am Berghang;1-36;;;4221
13.09.2020;05914000;Am Berghang;95;;;1072
13.09.2020;05914000;Am Birkenwäldchen;;;;5234
13.09.2020;05914000;Am Boeckwaag;;;;3176
13.09.2020;05914000;Am Bogen;;;;1072
13.09.2020;05914000;Am Brantenberg;;;;4225
13.09.2020;05914000;Am Bügel;;;;2121
13.09.2020;05914000;Am Buscherberg;;;;4212
13.09.2020;05914000;Am Damm;;;;4212
13.09.2020;05914000;Am Dorfplatz;;;;3164
13.09.2020;05914000;Am Dubberg;;;;3185
13.09.2020;05914000;Am Finkenherd;;;;1072
13.09.2020;05914000;Am Fleyer Bach;;;;2134
13.09.2020;05914000;Am Fliegenhaus;;;;5255
13.09.2020;05914000;Am Freibad;;;;1041
13.09.2020;05914000;Am Großen Feld;;;;1073
13.09.2020;05914000;Am Hange;;;;3171
13.09.2020;05914000;Am Hardtland;;;;1072
13.09.2020;05914000;Am Hasenhagen;;;;4225
13.09.2020;05914000;Am Hasper Bahnhof;;;;5242
13.09.2020;05914000;Am Hauptbahnhof;;;;1031
13.09.2020;05914000;Am Hemker Bach;;;;4222
13.09.2020;05914000;Am Hirsch;;;;4212
13.09.2020;05914000;Am Hohen Graben;;;;1014
13.09.2020;05914000;Am Höing;;;;1051
13.09.2020;05914000;Am Holderbusch;;;;3191
13.09.2020;05914000;Am Horseney;;;;4222
13.09.2020;05914000;Am Huse;;;;4224
13.09.2020;05914000;Am Ischeland;;;;1025
13.09.2020;05914000;Am Kaisberg;;;;2111
13.09.2020;05914000;Am Karweg;;;;5256
13.09.2020;05914000;Am Katernberg;;;;3182
13.09.2020;05914000;Am Kellerhofe;;;;3164
13.09.2020;05914000;Am Kettelberg;;;;5255
13.09.2020;05914000;Am Kolfacker;;;;2126
13.09.2020;05914000;Am Krahenbrink;;;;3173
13.09.2020;05914000;Am Kronocken;;;;3166
13.09.2020;05914000;Am Lilienbaum;;;;5234
13.09.2020;05914000;Am Obergraben;;;;4222
13.09.2020;05914000;Am Ortbach;;;;3182
13.09.2020;05914000;Am Paulshof;;;;3165
13.09.2020;05914000;Am Pfannenofen;33;;;1042
13.09.2020;05914000;Am Pfannenofen;2,4;;;1043
13.09.2020;05914000;Am Predigerstuhl;;;;3181
13.09.2020;05914000;Am Quambusch;;;;5231
13.09.2020;05914000;Am Rastebaum;;;;1042
13.09.2020;05914000;Am Romberg;;;;5254
13.09.2020;05914000;Am Roten Stein;;;;3182
13.09.2020;05914000;Am Rundblick;;;;4225
13.09.2020;05914000;Am Schellbrink;;;;3194
13.09.2020;05914000;Am Schemmannshof;;;;1074
13.09.2020;05914000;Am Schlage;;;;1075
13.09.2020;05914000;Am Schloßberg;;;;3184
13.09.2020;05914000;Am Schützenhof;;;;5255
13.09.2020;05914000;Am Sonnenberg;;;;3181
13.09.2020;05914000;Am Sportpark;75;;;1034
13.09.2020;05914000;Am Sportpark;6-34 ger.;;;1051
13.09.2020;05914000;Am Sportpark;11-21 ung.;;;1024
13.09.2020;05914000;Am Steg;;;;2153
13.09.2020;05914000;Am Sterbecker Bach;;;;4224
13.09.2020;05914000;Am Stockey;;;;4221
13.09.2020;05914000;Am Strötken;;;;2126
13.09.2020;05914000;Am Stuckenhagen;;;;4223
13.09.2020;05914000;Am Süßenberg;;;;2151
13.09.2020;05914000;Am Teich;;;;1074
13.09.2020;05914000;Am Tempel;;;;2151
13.09.2020;05914000;Am Tütershof;;;;1065
13.09.2020;05914000;Am Volmeblick;;;;4223
13.09.2020;05914000;Am Volmewehr;;;;4222
13.09.2020;05914000;Am Waldesrand;;;;1071
13.09.2020;05914000;Am Waldhang;2-26;;;1093
13.09.2020;05914000;Am Waldhang;42,46;;;1013
13.09.2020;05914000;Am Waldwege;;;;4211
13.09.2020;05914000;Am Weitblick;;;;4204
13.09.2020;05914000;Am Widey;;;;1021
13.09.2020;05914000;Am Wiembusch;;;;5232
13.09.2020;05914000;Am Winterhof;;;;2151
13.09.2020;05914000;Ambrocker Weg;;;;4222
13.09.2020;05914000;Amselgasse;;;;1063
13.09.2020;05914000;Amselweg;;;;3194
