PLZ;Ort;Straße;Hausnummer;X;Y;Stimmbezirk;WahlbezirkId
58091;Hagen;Abergweg;1;32396848,472;5681985,307;4224;22
58091;Hagen;Abergweg;2;32396835,372;5681968,7;4224;22
58091;Hagen;Abergweg;3;32396889,804;5681986,048;4224;22
58091;Hagen;Abergweg;3a;32396867,586;5681970,397;4224;22
58091;Hagen;Abergweg;7;32396968,501;5681928,678;4224;22
58091;Hagen;Abergweg;9;32396968,747;5681963,348;4224;22
58091;Hagen;Abergweg;11;32397026,973;5681959,905;4224;22
58093;Hagen;Ackerstraße;2;32395790,772;5691081,565;1065;06
58093;Hagen;Ackerstraße;8;32395810,844;5691089,518;1065;06
58093;Hagen;Ackerstraße;12;32395856,602;5691112,338;1065;06
58093;Hagen;Ackerstraße;13;32395915,694;5691145,543;1065;06
58093;Hagen;Ackerstraße;15;32395881,654;5691143,707;1065;06
58099;Hagen;Adalbert-Stifter-Straße;1;32392849,802;5693760,73;2142;14
58099;Hagen;Adalbert-Stifter-Straße;2;32392827,553;5693751,199;2142;14
58099;Hagen;Adalbert-Stifter-Straße;2a;32392820,523;5693758,268;2142;14
58099;Hagen;Adalbert-Stifter-Straße;4;32392832,502;5693734,225;2142;14
58099;Hagen;Adalbert-Stifter-Straße;5;32392863,099;5693724,902;2142;14
58099;Hagen;Adalbert-Stifter-Straße;6;32392835,824;5693709,706;2142;14
58099;Hagen;Adalbert-Stifter-Straße;6a;32392828,813;5693709,739;2142;14
58099;Hagen;Adalbert-Stifter-Straße;7;32392872,402;5693723,148;2142;14
58099;Hagen;Adalbert-Stifter-Straße;7a;32392887,013;5693715,222;2142;14
58099;Hagen;Adalbert-Stifter-Straße;8;32392859,655;5693693,152;2142;14
58099;Hagen;Adalbert-Stifter-Straße;9;32392915,581;5693718,653;2142;14
58099;Hagen;Adalbert-Stifter-Straße;10;32392865,862;5693693,513;2142;14
58099;Hagen;Adalbert-Stifter-Straße;11;32392931,868;5693722,392;2142;14
58099;Hagen;Adalbert-Stifter-Straße;12;32392872,127;5693691,823;2142;14
58099;Hagen;Adalbert-Stifter-Straße;13;32393000,535;5693710,96;2142;14
58099;Hagen;Adalbert-Stifter-Straße;14;32392878,313;5693692,178;2142;14
58099;Hagen;Adalbert-Stifter-Straße;15;32393002,218;5693727,717;2142;14
58099;Hagen;Adalbert-Stifter-Straße;16;32392884,468;5693692,533;2142;14
58099;Hagen;Adalbert-Stifter-Straße;18;32392890,636;5693692,891;2142;14
58099;Hagen;Adalbert-Stifter-Straße;20;32392887,698;5693666,128;2142;14
58099;Hagen;Adalbert-Stifter-Straße;22;32392888,378;5693660,074;2142;14
58099;Hagen;Adalbert-Stifter-Straße;24;32392889,072;5693653,89;2142;14
58099;Hagen;Adalbert-Stifter-Straße;26;32392990,369;5693688,551;2142;14
58097;Hagen;Adolfstraße;1;32393085,915;5691489,295;1031;03
58097;Hagen;Adolfstraße;2;32393102,079;5691480,929;1031;03
58097;Hagen;Adolfstraße;3;32393090,148;5691504,727;1031;03
58097;Hagen;Adolfstraße;4;32393105,383;5691493,199;1031;03
58097;Hagen;Adolfstraße;5;32393094,355;5691519,91;1031;03
58097;Hagen;Adolfstraße;6;32393108,907;5691505,96;1031;03
58097;Hagen;Adolfstraße;7;32393106,109;5691562,197;1031;03
58097;Hagen;Adolfstraße;8;32393120,986;5691549,284;1031;03
58097;Hagen;Adolfstraße;9;32393109,053;5691572,98;1031;03
58097;Hagen;Adolfstraße;9a;32393096,586;5691586,229;1031;03
58097;Hagen;Adolfstraße;10;32393125,1;5691564,221;1031;03
58097;Hagen;Adolfstraße;11;32393112,464;5691585,445;1031;03
58097;Hagen;Adolfstraße;12;32393128,023;5691574,506;1031;03
