gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
;;;;;;Mitte;Mitte;0111;0111 Bellevue-Saal;U;;;;;
;;;;;;Mitte;Mitte;0112;0112 Rathaus;U;;;;;
;;;;;;Mitte;Mitte;0121;0121 Oranienschule;U;;;;;
;;;;;;Mitte;Mitte;0122;0122 Oranienschule;U;;;;;
;;;;;;Mitte;Mitte;0131;0131 Werner-von-Siemens-Schule;U;;;;;
;;;;;;Mitte;Mitte;0132;0132 Friedrich-Ludwig-Jahn-Schule;U;;;;;
;;;;;;Mitte;Mitte;0133;0133 Oranienschule;U;;;;;
;;;;;;Mitte;Mitte;0141;0141 Werner-von-Siemens-Schule;U;;;;;
;;;;;;Mitte;Mitte;0151;0151 Anton-Gruner-Schule;U;;;;;
;;;;;;Mitte;Mitte;0152;0152 Treffpunkt aktiv Adlerstraße;U;;;;;
;;;;;;Mitte;Mitte;0153;0153 Integrierte Gesamtschule;U;;;;;
;;;;;;Nordost;Nordost;0211;0211 Robert-Schumann-Schule;U;;;;;
;;;;;;Nordost;Nordost;0212;0212 Robert-Schumann-Schule;U;;;;;
;;;;;;Nordost;Nordost;0213;0213 Haus der Altenpflege;U;;;;;
;;;;;;Nordost;Nordost;0214;0214 Robert-Schumann-Schule;U;;;;;
;;;;;;Nordost;Nordost;0221;0221 Kapellen-Stift;U;;;;;
;;;;;;Nordost;Nordost;0222;0222 Ev. Verein f. Innere Mission;U;;;;;
;;;;;;Nordost;Nordost;0231;0231 Musischer Kindergarten;U;;;;;
;;;;;;Nordost;Nordost;0232;0232 Johannes-Maaß-Schule;U;;;;;
;;;;;;Nordost;Nordost;0233;0233 Johannes-Maaß-Schule;U;;;;;
;;;;;;Nordost;Nordost;0241;0241 Johann-Hinrich-Wichern-Stift;U;;;;;
;;;;;;Nordost;Nordost;0242;0242 Comeniusschule;U;;;;;
;;;;;;Nordost;Nordost;0243;0243 Riederbergschule;U;;;;;
;;;;;;Nordost;Nordost;0244;0244 Riederbergschule;U;;;;;
;;;;;;Nordost;Nordost;0251;0251 Albrecht-Dürer-Schule;U;;;;;
;;;;;;Nordost;Nordost;0271;0271 Martin-Niemöller-Schule;U;;;;;
;;;;;;Nordost;Nordost;0281;0281 Fritz-Gansberg-Schule;U;;;;;
;;;;;;Südost;Südost;0311;0311 Kath. Gem. Hl. Familie;U;;;;;
;;;;;;Südost;Südost;0321;0321 Fritz-Gansberg-Schule;U;;;;;
