Stimmbezirk;S_Name;S_URL;Stadtbezirk;Wahlbezirk;W_Name;W_URL
1011;1011 Volkspark;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1011_Volkspark.html;Hagen-Mitte;01;01 Mittelstadt;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_01_Mittelstadt.html
1012;1012 Theater;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1012_Theater.html;Hagen-Mitte;01;01 Mittelstadt;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_01_Mittelstadt.html
1013;1013 Friedrich-Ebert-Platz / Kunstquartier;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1013_FriedrichEbertPlatz__Kunstquartier.html;Hagen-Mitte;01;01 Mittelstadt;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_01_Mittelstadt.html
1014;1014 Kratzkopf;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1014_Kratzkopf.html;Hagen-Mitte;01;01 Mittelstadt;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_01_Mittelstadt.html
1021;1021 Volmeaue;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1021_Volmeaue.html;Hagen-Mitte;02;02 Altenhagen-Süd;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_02_AltenhagenSued.html
1022;1022 Funckepark;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1022_Funckepark.html;Hagen-Mitte;02;02 Altenhagen-Süd;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_02_AltenhagenSued.html
1023;1023 Yorckstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1023_Yorckstr.html;Hagen-Mitte;02;02 Altenhagen-Süd;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_02_AltenhagenSued.html
1024;1024 Funckestr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1024_Funckestr.html;Hagen-Mitte;02;02 Altenhagen-Süd;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_02_AltenhagenSued.html
1025;1025 Am Ischeland;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1025_Am_Ischeland.html;Hagen-Mitte;02;02 Altenhagen-Süd;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_02_AltenhagenSued.html
1031;1031 Adolf- / Sedanstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1031_Adolf__Sedanstr.html;Hagen-Mitte;03;03 Altenhagen-West;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_03_AltenhagenWest.html
1032;1032 Brink- / Altenhagener Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1032_Brink__Altenhagener_Str.html;Hagen-Mitte;03;03 Altenhagen-West;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_03_AltenhagenWest.html
1033;1033 St.-Josefs-Hospital;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1033_StJosefsHospital.html;Hagen-Mitte;03;03 Altenhagen-West;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_03_AltenhagenWest.html
1034;1034 Kinkelstraße;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1034_Kinkelstrasse.html;Hagen-Mitte;03;03 Altenhagen-West;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_03_AltenhagenWest.html
1041;1041 Zur Heide;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1041_Zur_Heide.html;Hagen-Mitte;04;04 Altenhagen-Ost;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_04_AltenhagenOst.html
1042;1042 Alexander- / Alleestr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1042_Alexander__Alleestr.html;Hagen-Mitte;04;04 Altenhagen-Ost;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_04_AltenhagenOst.html
1043;1043 Ginsterheide;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1043_Ginsterheide.html;Hagen-Mitte;04;04 Altenhagen-Ost;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_04_AltenhagenOst.html
1044;1044 Polizeipräsidium;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1044_Polizeipraesidium.html;Hagen-Mitte;04;04 Altenhagen-Ost;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_04_AltenhagenOst.html
1051;1051 Höing;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1051_Hoeing.html;Hagen-Mitte;05;05 Fleyerviertel;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_05_Fleyerviertel.html
1052;1052 Fleyer Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1052_Fleyer_Str.html;Hagen-Mitte;05;05 Fleyerviertel;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_05_Fleyerviertel.html
1053;1053 Tondernsiedlung;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1053_Tondernsiedlung.html;Hagen-Mitte;05;05 Fleyerviertel;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_05_Fleyerviertel.html
