version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.3;08212000;23.02.2025;Bundestagswahl 2025;CDU;;Bunk;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;SPD;;Marvi;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;GRÜNE;;Dr. Mayer;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;FDP;;Berner;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;AfD;;Bernhard;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;Die Linke;;Bauer;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;FREIE WÄHLER;;Krez;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;Die PARTEI;;Trippel;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;Volt;;Gaukel;;;;;;;271;
0.3;08212000;23.02.2025;Bundestagswahl 2025;MLPD;;Schraven;;;;;;;271;
