version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Kolodziej;;Christian;;;;;001;15
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Michelau;;Bernd;;;;;002;9
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Bleeker;;Lothar;Dr.;;;;003;4
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Baldus;;Philip;;;;;004;5
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Hassen;;Dieter;;;;;005;8
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Burkart;;Josef;;;;;006;12
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Neunteufel;;Ralf;;;;;007;11
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Maurer;;Viktor;;;;;008;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Müller;;Ralph;;;;;009;14
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Fürkötter;;Heinz;;;;;010;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Reinartz;;Karl-Josef;;;;;011;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Waberzeck;;Bernhard;;;;;012;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Zirke;;Birgit;;;;;013;16
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Faust;;Jürgen;;;;;014;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Jeck;;Klaus-Peter;Dr.;;;;015;3
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Faust;;Franz-Josef;;;;;016;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Poll;;Frank;;;;;017;2
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Müller;;Simon;;;;;018;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Knie;;Manfred;;;;;019;19
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Franke;;Michael;;;;;020;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Deutsch;;Monika;;;;;021;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Zirke;;Hermann Ruprecht;;;;;022;6
0.2;05366000;13.09.2020;Kreistagswahl NRW;AfD;Alternative für Deutschland;Lübke;;Bernd;;;;;023;1
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Kemp;;Myriam;;;;;001;7
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Nitsche;;Valérie Vivienne;;;;;002;5
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Keßeler;;Thomas;Dr.;;;;003;14
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Schubert;;Miriam;;;;;004;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Mende;;Ellen;;;;;005;1
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Ignatowitz;;Hans-Werner;;;;;006;4
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Kroll;;Dorothee;;;;;007;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Schubert;;Sebastian Peter Maximilian;;;;;008;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Drexler;;Manuela;;;;;009;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Kalnins;;Angela;;;;;010;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Grutke;;Jörg;;;;;011;2
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Schallenberg;;Peter;;;;;012;8
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Oerter;;Kerstin;Dr.;;;;013;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Wilcken;von;Peter;;;;;014;12
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Nositschka;;Gudrun;;;;;015;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Grosswendt;;Harry;;;;;016;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Huppertz;;Guido;Dr.;;;;017;16
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Neveling;;Gisela;;;;;018;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Bauer-Peil;;Ute;;;;;019;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Schier;;Friedel;Dr.;;;;020;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Gierden;;Wilfried;;;;;021;6
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Böttger;;Ulrich;;;;;022;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Felser-Micken;;Margret;;;;;023;0
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Stickeler;;Karsten;;;;;001;8
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Jakobs;;Erwin;;;;;002;20
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Schmitz;;Dominik;;;;;003;9
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Weber;;Günter;;;;;004;4
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Tulbure;;George;;;;;005;15
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Kolvenbach;;Bernd;;;;;006;2
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Kohlheyer;;Clas;;;;;007;6
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Schneider;;Hans-Erhard;;;;;008;12
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Guhlke;;Stefan;;;;;009;18
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Wallraff;;Silvia;;;;;010;5
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Wolter;;Leo;;;;;011;13
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Jahr;;Dirk;;;;;012;7
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Manheller;;Manfred;;;;;013;19
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Jaeck;;Rolf;;;;;014;11
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Braun-Näger;;Birgit;;;;;015;3
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Mießeler;;Rudi;;;;;016;17
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Stolz;;Ute;;;;;017;1
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Steffen;;Manfred;;;;;018;22
0.2;05366000;13.09.2020;Kreistagswahl NRW;CDU;Christlich Demokratische Union Deutschlands;Kupp;;Jochen;;;;;019;10
