version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Jorinda Fahringer;;;;;;;;1
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Aljoscha Löffler;;;;;;;;2
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Leonie Wolf;;;;;;;;3
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Dr. Clemens Cremer;;;;;;;;4
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Dr. Iris Sardarabady;;;;;;;;5
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Benjamin Bauer;;;;;;;;6
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Ceren Akbaba;;;;;;;;7
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Ivo Dujmović;;;;;;;;8
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Verena Uta Anlauf;;;;;;;;9
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Thorsten Frewer;;;;;;;;10
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Dr. Susanne Heynen;;;;;;;;11
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Jesko Schwarz;;;;;;;;12
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Sarah Dußler;;;;;;;;13
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Bernd Belschner;;;;;;;;14
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Annalena Litterst;;;;;;;;15
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Christian Klinkhardt;;;;;;;;16
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Christine Großmann;;;;;;;;17
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Niko Riebel;;;;;;;;18
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Petra Sander;;;;;;;;19
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Gabriel Tessmer;;;;;;;;20
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Dr. Sonja Klingert;;;;;;;;21
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Bastian Schäffauer;;;;;;;;22
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Victoria Link;;;;;;;;23
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Hubert Kast;;;;;;;;24
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Sarah Brassat;;;;;;;;25
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Ralf Köster;;;;;;;;26
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Sabine Just-Höpfinger;;;;;;;;27
0.3;08212000;09.06.2024;Gemeinderatswahl 2024 Stadt Karlsruhe;GRÜNE;;Jonas Einsweiler;;;;;;;;28
