version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.3;05914000;26.09.2021;Bundestagswahl;CDU;Christlich Demokratische Union Deutschlands;Nienhaus;;Ernst Christian;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;SPD;Sozialdemokratische Partei Deutschlands;Schisanowski;;Timo;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;FDP;Freie Demokratische Partei;Helling-Plahr;;Katrin;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;AfD;Alternative für Deutschland;Geitz;;Andreas;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Dr. Dahmen;;Janosch;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;DIE LINKE;DIE LINKE;Hentschel;;Ingo;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Sarakatsanos;;Athanasios;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;FREIE WÄHLER;FREIE WÄHLER;Buschner;;Sara;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;MLPD;Marxistisch-Leninistische Partei Deutschlands;Funk;;Reinhard;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;dieBasis;Basisdemokratische Partei Deutschland;Effenberger;;Markus;;;;;138;
0.3;05914000;26.09.2021;Bundestagswahl;Wir! Gemeinsam stark;Einzelbewerber Tropp;Tropp;;Michael Stefan;;;;;138;
