version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;CDU;Christlich Demokratische Union Deutschlands;Ernst Christian Nienhaus;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;SPD;Sozialdemokratische Partei Deutschlands;Timo Schisanowski;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;FDP;Freie Demokratische Partei;Katrin Helling-Plahr;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;AfD;Alternative für Deutschland;Andreas Geitz;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Dr. Janosch Dahmen;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;DIE LINKE;DIE LINKE;Ingo Hentschel;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Athanasios Sarakatsanos;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;FREIE WÄHLER;FREIE WÄHLER;Sara Buschner;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;MLPD;Marxistisch-Leninistische Partei Deutschlands;Reinhard Funk;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;dieBasis;Basisdemokratische Partei Deutschland;Markus Effenberger;;;;;;;138;
0.3;05914000;26.09.2021;Wahl zum Deutschen Bundestag;Wir! Gemeinsam stark;Einzelbewerber Tropp;Michael Stefan Tropp;;;;;;;138;
