version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.3;08212000;26.09.2021;Bundestagswahl;CDU;;Wellenreuther;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;SPD;;Marvi;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;GRÜNE;;Mayer;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;FDP;;Theurer;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;AfD;;Bernhard;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;DIE LINKE;;Brandt;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;Die PARTEI;;Barth;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;FREIE WÄHLER;;Barutta;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;ÖDP;;Dr. Behr;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;MLPD;;Dachner;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;dieBasis;;Buchfink;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;Bündnis C;;Raphael;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;Die Humanisten;;Dr. Schäfer;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;Volt;;Dr. Giannikopoulos;;;;;;;271;
0.3;08212000;26.09.2021;Bundestagswahl;KlimalisteBW;;Schmoll;;;;;;;271;
